NOMBRE;NUMERO;median_price_inf
BAILEN-MIRAFLORES;4.0;1827.690669
CAMPANILLAS;9.0;1590.3343224999999
CARRETERA DE CADIZ;7.0;2295.304323
CENTRO;1.0;3097.2203654999994
CHURRIANA;8.0;2100.4264999999996
CIUDAD JARDIN;3.0;1597.4170199999999
CRUZ DE HUMILLADERO;6.0;1971.2952890000001
ESTE;2.0;3240.393552
PALMA-PALMILLA;5.0;1320.5
PUERTO DE LA TORRE;10.0;2004.1225200000001
TEATINOS-UNIVERSIDAD;11.0;2581.441308
