NUMSECCENS;América Central, Sur y Caribe;América del Norte;Asia;Española;Oceanía;Resto de Europa;Unión Europea (sin España);África
1001.0;0.026200873362445413;0.004366812227074236;0.013100436681222707;0.8165938864628821;0.0;0.026200873362445413;0.09170305676855896;0.021834061135371178
2003.0;0.0038022813688212928;0.0;0.0;0.9809885931558935;0.0;0.0;0.015209125475285171;0.0
2004.0;0.0;0.0;0.01098901098901099;0.9395604395604396;0.0;0.01098901098901099;0.038461538461538464;0.0
2009.0;0.018867924528301886;0.0;0.0047169811320754715;0.9292452830188679;0.0;0.02358490566037736;0.014150943396226415;0.009433962264150943
2013.0;0.006920415224913495;0.0034602076124567475;0.0034602076124567475;0.9342560553633218;0.0;0.006920415224913495;0.04152249134948097;0.0034602076124567475
2020.0;0.03888888888888889;0.0;0.027777777777777776;0.8555555555555555;0.0;0.016666666666666666;0.044444444444444446;0.016666666666666666
2022.0;0.014354066985645933;0.0;0.0;0.9569377990430622;0.0;0.009569377990430622;0.014354066985645933;0.004784688995215311
2024.0;0.03550295857988166;0.0;0.0;0.9230769230769231;0.0;0.005917159763313609;0.005917159763313609;0.029585798816568046
2026.0;0.0196078431372549;0.0;0.00784313725490196;0.9568627450980393;0.0;0.0;0.011764705882352941;0.00392156862745098
2027.0;0.009933774834437087;0.0033112582781456954;0.0;0.9536423841059603;0.0;0.006622516556291391;0.023178807947019868;0.0033112582781456954
2028.0;0.01764705882352941;0.0;0.011764705882352941;0.9235294117647059;0.0;0.023529411764705882;0.01764705882352941;0.0058823529411764705
2030.0;0.024822695035460994;0.0035460992907801418;0.0;0.9290780141843972;0.0;0.0070921985815602835;0.024822695035460994;0.010638297872340425
2041.0;0.01056338028169014;0.0;0.0;0.971830985915493;0.0;0.0035211267605633804;0.014084507042253521;0.0
2044.0;0.007462686567164179;0.0;0.0;0.9514925373134329;0.0;0.007462686567164179;0.029850746268656716;0.0037313432835820895
2047.0;0.004830917874396135;0.0;0.004830917874396135;0.9710144927536232;0.0;0.0;0.01932367149758454;0.0
2048.0;0.003875968992248062;0.0;0.0;0.9844961240310077;0.0;0.003875968992248062;0.007751937984496124;0.0
2049.0;0.003484320557491289;0.003484320557491289;0.0;0.9616724738675958;0.0;0.010452961672473868;0.017421602787456445;0.003484320557491289
2050.0;0.007874015748031496;0.0;0.0026246719160104987;0.9658792650918635;0.0;0.005249343832020997;0.015748031496062992;0.0026246719160104987
3003.0;0.056818181818181816;0.005681818181818182;0.005681818181818182;0.8068181818181818;0.0;0.017045454545454544;0.07386363636363637;0.03409090909090909
4001.0;0.031088082901554404;0.0051813471502590676;0.02072538860103627;0.8652849740932642;0.0;0.02072538860103627;0.046632124352331605;0.010362694300518135
4003.0;0.037037037037037035;0.005291005291005291;0.005291005291005291;0.8359788359788359;0.005291005291005291;0.015873015873015872;0.06878306878306878;0.026455026455026454
4004.0;0.017142857142857144;0.0;0.005714285714285714;0.9028571428571428;0.0;0.017142857142857144;0.04;0.017142857142857144
4007.0;0.03571428571428571;0.0;0.005952380952380952;0.8690476190476191;0.0;0.023809523809523808;0.047619047619047616;0.017857142857142856
4009.0;0.02564102564102564;0.0;0.005128205128205128;0.9282051282051282;0.0;0.015384615384615385;0.020512820512820513;0.005128205128205128
5002.0;0.02608695652173913;0.004347826086956522;0.008695652173913044;0.8608695652173913;0.004347826086956522;0.017391304347826087;0.05652173913043478;0.021739130434782608
6002.0;0.008368200836820083;0.0;0.0;0.9748953974895398;0.0;0.0;0.012552301255230125;0.0041841004184100415
6007.0;0.005263157894736842;0.0;0.0;0.968421052631579;0.0;0.005263157894736842;0.010526315789473684;0.010526315789473684
6012.0;0.020942408376963352;0.0;0.020942408376963352;0.9214659685863874;0.0;0.010471204188481676;0.015706806282722512;0.010471204188481676
6013.0;0.03278688524590164;0.004098360655737705;0.012295081967213115;0.889344262295082;0.0;0.01639344262295082;0.03278688524590164;0.012295081967213115
6019.0;0.02247191011235955;0.0;0.028089887640449437;0.8595505617977528;0.0;0.016853932584269662;0.033707865168539325;0.03932584269662921
6025.0;0.014705882352941176;0.0;0.0;0.9656862745098039;0.0;0.0;0.014705882352941176;0.004901960784313725
6028.0;0.023728813559322035;0.0;0.013559322033898305;0.9220338983050848;0.0;0.010169491525423728;0.020338983050847456;0.010169491525423728
6031.0;0.01744186046511628;0.0;0.005813953488372093;0.9534883720930233;0.0;0.0;0.011627906976744186;0.011627906976744186
6039.0;0.00909090909090909;0.0;0.004545454545454545;0.9681818181818181;0.0;0.0;0.013636363636363636;0.004545454545454545
6048.0;0.0033003300330033004;0.0;0.0033003300330033004;0.9801980198019802;0.0;0.006600660066006601;0.006600660066006601;0.0
7005.0;0.009174311926605505;0.0;0.0;0.9770642201834863;0.0;0.009174311926605505;0.0;0.0045871559633027525
7011.0;0.03225806451612903;0.0;0.021505376344086023;0.8870967741935484;0.0;0.0;0.03225806451612903;0.026881720430107527
7023.0;0.0149812734082397;0.0;0.00749063670411985;0.9363295880149812;0.0;0.003745318352059925;0.011235955056179775;0.026217228464419477
7027.0;0.004545454545454545;0.0;0.004545454545454545;0.9772727272727273;0.0;0.004545454545454545;0.00909090909090909;0.0
7030.0;0.005780346820809248;0.0;0.005780346820809248;0.976878612716763;0.0;0.0;0.0;0.011560693641618497
7034.0;0.029411764705882353;0.004201680672268907;0.02100840336134454;0.8907563025210085;0.0;0.012605042016806723;0.008403361344537815;0.03361344537815126
7043.0;0.013157894736842105;0.0;0.008771929824561403;0.9429824561403509;0.0;0.0043859649122807015;0.008771929824561403;0.021929824561403508
7046.0;0.003745318352059925;0.0;0.00749063670411985;0.9662921348314607;0.0;0.003745318352059925;0.00749063670411985;0.011235955056179775
7048.0;0.03524229074889868;0.0;0.0;0.9251101321585903;0.0;0.013215859030837005;0.013215859030837005;0.013215859030837005
7050.0;0.009950248756218905;0.0;0.004975124378109453;0.9552238805970149;0.0;0.004975124378109453;0.009950248756218905;0.014925373134328358
7066.0;0.041176470588235294;0.0;0.01764705882352941;0.888235294117647;0.0;0.011764705882352941;0.01764705882352941;0.023529411764705882
7067.0;0.028735632183908046;0.0;0.028735632183908046;0.8793103448275862;0.0;0.011494252873563218;0.011494252873563218;0.040229885057471264
7071.0;0.011235955056179775;0.0;0.0056179775280898875;0.949438202247191;0.0;0.0056179775280898875;0.016853932584269662;0.011235955056179775
7072.0;0.015037593984962405;0.0037593984962406013;0.0037593984962406013;0.9624060150375939;0.0;0.0037593984962406013;0.007518796992481203;0.0037593984962406013
7074.0;0.02181818181818182;0.0;0.014545454545454545;0.9345454545454546;0.0;0.01090909090909091;0.0036363636363636364;0.014545454545454545
7076.0;0.009433962264150943;0.0047169811320754715;0.0;0.9764150943396226;0.0;0.0;0.009433962264150943;0.0
7077.0;0.007246376811594203;0.0;0.0036231884057971015;0.9746376811594203;0.0;0.0;0.007246376811594203;0.007246376811594203
7082.0;0.006514657980456026;0.0;0.003257328990228013;0.9706840390879479;0.0;0.006514657980456026;0.009771986970684038;0.003257328990228013
7089.0;0.0125;0.0;0.004166666666666667;0.9708333333333333;0.0;0.004166666666666667;0.008333333333333333;0.0
7090.0;0.007407407407407408;0.0;0.0;0.9777777777777777;0.0;0.003703703703703704;0.011111111111111112;0.0
7091.0;0.0024449877750611247;0.0;0.0;0.9853300733496333;0.0;0.0;0.007334963325183374;0.004889975550122249
7092.0;0.0035971223021582736;0.0;0.0;0.9784172661870504;0.0;0.0;0.007194244604316547;0.01079136690647482
7095.0;0.006060606060606061;0.0;0.0;0.9818181818181818;0.0;0.0;0.012121212121212121;0.0
8001.0;0.01282051282051282;0.0;0.004273504273504274;0.9658119658119658;0.0;0.008547008547008548;0.004273504273504274;0.004273504273504274
8003.0;0.022222222222222223;0.0;0.0;0.9444444444444444;0.0;0.011111111111111112;0.0;0.022222222222222223
8006.0;0.003436426116838488;0.0;0.006872852233676976;0.9828178694158075;0.0;0.0;0.003436426116838488;0.003436426116838488
8007.0;0.013333333333333334;0.0044444444444444444;0.0044444444444444444;0.9422222222222222;0.0;0.008888888888888889;0.0044444444444444444;0.022222222222222223
8010.0;0.015723270440251572;0.0;0.0;0.9654088050314465;0.0;0.0031446540880503146;0.009433962264150943;0.006289308176100629
8011.0;0.014545454545454545;0.0;0.0;0.9709090909090909;0.0;0.0036363636363636364;0.007272727272727273;0.0036363636363636364
8012.0;0.01282051282051282;0.0;0.017948717948717947;0.941025641025641;0.0;0.007692307692307693;0.010256410256410256;0.010256410256410256
8013.0;0.011673151750972763;0.0;0.058365758754863814;0.914396887159533;0.0;0.0;0.011673151750972763;0.0038910505836575876
8015.0;0.005813953488372093;0.0;0.029069767441860465;0.9476744186046512;0.0;0.005813953488372093;0.0;0.011627906976744186
8017.0;0.00966183574879227;0.0;0.004830917874396135;0.961352657004831;0.0;0.0;0.014492753623188406;0.00966183574879227
8018.0;0.004761904761904762;0.0;0.0;0.9857142857142858;0.0;0.004761904761904762;0.004761904761904762;0.0
8028.0;0.012307692307692308;0.0;0.003076923076923077;0.963076923076923;0.0;0.0;0.003076923076923077;0.018461538461538463
8029.0;0.020618556701030927;0.0;0.013745704467353952;0.9415807560137457;0.0;0.003436426116838488;0.01718213058419244;0.003436426116838488
8030.0;0.004728132387706856;0.0;0.002364066193853428;0.983451536643026;0.0;0.002364066193853428;0.004728132387706856;0.002364066193853428
8031.0;0.018433179723502304;0.0;0.009216589861751152;0.9539170506912442;0.0;0.0;0.013824884792626729;0.004608294930875576
8033.0;0.002857142857142857;0.0;0.002857142857142857;0.9885714285714285;0.0;0.0;0.005714285714285714;0.0
8035.0;0.002857142857142857;0.0;0.002857142857142857;0.9714285714285714;0.0;0.002857142857142857;0.014285714285714285;0.005714285714285714
8036.0;0.0111731843575419;0.0;0.0;0.9776536312849162;0.0;0.0;0.00558659217877095;0.00558659217877095
8039.0;0.012244897959183673;0.0;0.004081632653061225;0.9714285714285714;0.0;0.004081632653061225;0.004081632653061225;0.004081632653061225
8040.0;0.0058823529411764705;0.0;0.008823529411764706;0.9735294117647059;0.0;0.0;0.008823529411764706;0.0029411764705882353
8041.0;0.010309278350515464;0.0;0.005154639175257732;0.9639175257731959;0.0;0.005154639175257732;0.010309278350515464;0.005154639175257732
8042.0;0.006622516556291391;0.0;0.0033112582781456954;0.9701986754966887;0.0;0.0033112582781456954;0.009933774834437087;0.006622516556291391
8043.0;0.004962779156327543;0.0;0.009925558312655087;0.9702233250620348;0.0;0.0024813895781637717;0.009925558312655087;0.0024813895781637717
8044.0;0.002680965147453083;0.0;0.002680965147453083;0.9812332439678284;0.0;0.005361930294906166;0.005361930294906166;0.002680965147453083
8052.0;0.011235955056179775;0.0;0.0056179775280898875;0.9719101123595506;0.0;0.0056179775280898875;0.0;0.0056179775280898875
8054.0;0.006289308176100629;0.0;0.0031446540880503146;0.9811320754716981;0.0;0.0;0.0031446540880503146;0.006289308176100629
8055.0;0.004608294930875576;0.0;0.0;0.9769585253456221;0.0;0.004608294930875576;0.009216589861751152;0.004608294930875576
8056.0;0.0;0.0;0.0;0.9876543209876543;0.0;0.00411522633744856;0.00823045267489712;0.0
8057.0;0.007352941176470588;0.0;0.0;0.9803921568627451;0.0;0.004901960784313725;0.004901960784313725;0.0024509803921568627
8058.0;0.006191950464396285;0.0;0.006191950464396285;0.9628482972136223;0.0;0.0030959752321981426;0.018575851393188854;0.0030959752321981426
8059.0;0.012084592145015106;0.0;0.006042296072507553;0.972809667673716;0.0030211480362537764;0.0;0.006042296072507553;0.0
8061.0;0.0025380710659898475;0.0;0.0;0.9873096446700508;0.0;0.0025380710659898475;0.005076142131979695;0.0025380710659898475
8063.0;0.004705882352941176;0.002352941176470588;0.002352941176470588;0.9694117647058823;0.0;0.002352941176470588;0.011764705882352941;0.007058823529411765
8064.0;0.024875621890547265;0.0;0.004975124378109453;0.9402985074626866;0.0;0.0;0.01990049751243781;0.009950248756218905
8065.0;0.0041841004184100415;0.0;0.008368200836820083;0.9748953974895398;0.0;0.0041841004184100415;0.008368200836820083;0.0
8066.0;0.005494505494505495;0.0;0.0027472527472527475;0.9752747252747253;0.0;0.0;0.01098901098901099;0.005494505494505495
8067.0;0.005235602094240838;0.0;0.015706806282722512;0.9685863874345549;0.0;0.005235602094240838;0.005235602094240838;0.0
8068.0;0.007407407407407408;0.003703703703703704;0.003703703703703704;0.9703703703703703;0.0;0.003703703703703704;0.007407407407407408;0.003703703703703704
8069.0;0.011450381679389313;0.0;0.007633587786259542;0.9656488549618321;0.0;0.003816793893129771;0.007633587786259542;0.003816793893129771
8070.0;0.007352941176470588;0.0;0.007352941176470588;0.9779411764705882;0.0;0.0;0.003676470588235294;0.003676470588235294
8072.0;0.008658008658008658;0.0;0.0;0.974025974025974;0.0;0.008658008658008658;0.008658008658008658;0.0
9003.0;0.009216589861751152;0.0;0.018433179723502304;0.9400921658986175;0.0;0.009216589861751152;0.013824884792626729;0.009216589861751152
9006.0;0.03414634146341464;0.004878048780487805;0.01951219512195122;0.8731707317073171;0.0;0.00975609756097561;0.04390243902439024;0.014634146341463415
9007.0;0.021538461538461538;0.003076923076923077;0.009230769230769232;0.9076923076923077;0.0;0.015384615384615385;0.024615384615384615;0.018461538461538463
9011.0;0.01809954751131222;0.0;0.004524886877828055;0.9366515837104072;0.0;0.013574660633484163;0.013574660633484163;0.013574660633484163
9012.0;0.030927835051546393;0.0;0.020618556701030927;0.8865979381443299;0.0;0.03608247422680412;0.020618556701030927;0.005154639175257732
9036.0;0.0319634703196347;0.0;0.0136986301369863;0.908675799086758;0.0;0.0136986301369863;0.0136986301369863;0.0182648401826484
9046.0;0.04142011834319527;0.0;0.023668639053254437;0.8994082840236687;0.0;0.011834319526627219;0.01775147928994083;0.005917159763313609
9052.0;0.01639344262295082;0.0;0.0273224043715847;0.8797814207650273;0.0;0.01639344262295082;0.03278688524590164;0.0273224043715847
9055.0;0.005681818181818182;0.0;0.0;0.9602272727272727;0.0;0.011363636363636364;0.011363636363636364;0.011363636363636364
9056.0;0.014778325123152709;0.0049261083743842365;0.014778325123152709;0.9064039408866995;0.0;0.024630541871921183;0.034482758620689655;0.0
9083.0;0.022222222222222223;0.0;0.0;0.9444444444444444;0.0;0.011111111111111112;0.016666666666666666;0.005555555555555556
10001.0;0.038314176245210725;0.0;0.019157088122605363;0.8697318007662835;0.0;0.04597701149425287;0.011494252873563218;0.01532567049808429
10002.0;0.01951219512195122;0.0;0.004878048780487805;0.8926829268292683;0.0;0.04390243902439024;0.024390243902439025;0.014634146341463415
10003.0;0.007547169811320755;0.0;0.0;0.9547169811320755;0.0;0.011320754716981131;0.022641509433962263;0.0037735849056603774
10016.0;0.04;0.0;0.022222222222222223;0.9111111111111111;0.0;0.008888888888888889;0.008888888888888889;0.008888888888888889
10019.0;0.004273504273504274;0.0;0.0;0.9829059829059829;0.0;0.004273504273504274;0.008547008547008548;0.0
10021.0;0.009174311926605505;0.0;0.013761467889908258;0.963302752293578;0.0;0.0;0.009174311926605505;0.0045871559633027525
10023.0;0.009433962264150943;0.0;0.0;0.9575471698113207;0.0;0.0047169811320754715;0.014150943396226415;0.014150943396226415
10026.0;0.005813953488372093;0.0;0.005813953488372093;0.9651162790697675;0.0;0.005813953488372093;0.011627906976744186;0.005813953488372093
10034.0;0.011406844106463879;0.0;0.0;0.9619771863117871;0.0;0.015209125475285171;0.0076045627376425855;0.0038022813688212928
10052.0;0.010256410256410256;0.0;0.010256410256410256;0.9538461538461539;0.0;0.010256410256410256;0.010256410256410256;0.005128205128205128
10056.0;0.0;0.0;0.005813953488372093;0.9767441860465116;0.0;0.005813953488372093;0.011627906976744186;0.0
10066.0;0.004524886877828055;0.0;0.00904977375565611;0.9502262443438914;0.0;0.013574660633484163;0.01809954751131222;0.004524886877828055
10068.0;0.004291845493562232;0.0;0.0;0.9871244635193133;0.0;0.004291845493562232;0.004291845493562232;0.0
10069.0;0.008771929824561403;0.0;0.008771929824561403;0.9444444444444444;0.0;0.011695906432748537;0.02046783625730994;0.005847953216374269
10070.0;0.009230769230769232;0.0;0.006153846153846154;0.9507692307692308;0.0;0.015384615384615385;0.015384615384615385;0.003076923076923077
10071.0;0.010830324909747292;0.0;0.0;0.9566787003610109;0.0;0.010830324909747292;0.018050541516245487;0.0036101083032490976
10072.0;0.008130081300813009;0.0020325203252032522;0.0040650406504065045;0.9491869918699187;0.0;0.012195121951219513;0.022357723577235773;0.0020325203252032522
10074.0;0.0111731843575419;0.0;0.0111731843575419;0.9553072625698324;0.0;0.00558659217877095;0.0111731843575419;0.00558659217877095
11002.0;0.013422818791946308;0.0;0.020134228187919462;0.9463087248322147;0.0;0.006711409395973154;0.010067114093959731;0.003355704697986577
11003.0;0.013289036544850499;0.0;0.013289036544850499;0.9401993355481728;0.0;0.009966777408637873;0.019933554817275746;0.0033222591362126247
11004.0;0.012396694214876033;0.0;0.02066115702479339;0.9297520661157025;0.0;0.004132231404958678;0.028925619834710745;0.004132231404958678
11006.0;0.009345794392523364;0.004672897196261682;0.0;0.9485981308411215;0.0;0.004672897196261682;0.009345794392523364;0.02336448598130841
11007.0;0.01597444089456869;0.0;0.04792332268370607;0.9137380191693291;0.0;0.006389776357827476;0.009584664536741214;0.006389776357827476
11008.0;0.017341040462427744;0.0;0.0;0.9248554913294798;0.0;0.005780346820809248;0.046242774566473986;0.005780346820809248
11010.0;0.00819672131147541;0.0;0.01639344262295082;0.9631147540983607;0.0;0.0;0.012295081967213115;0.0
11013.0;0.009615384615384616;0.0;0.0;0.9615384615384616;0.0;0.004807692307692308;0.02403846153846154;0.0
