NUMSECCENS;Casado/a;Divorciado/a o Separado/a;Soltero/a;Viudo/a
1001.0;0.365296803652968;0.1324200913242009;0.4885844748858447;0.0136986301369863
2003.0;0.5405405405405406;0.1274131274131274;0.32432432432432434;0.007722007722007722
2004.0;0.5966850828729282;0.09944751381215469;0.287292817679558;0.016574585635359115
2009.0;0.5490196078431373;0.08333333333333333;0.35294117647058826;0.014705882352941176
2013.0;0.583916083916084;0.0979020979020979;0.3041958041958042;0.013986013986013986
2020.0;0.45977011494252873;0.11494252873563218;0.40804597701149425;0.017241379310344827
2022.0;0.6183574879227053;0.07246376811594203;0.2946859903381642;0.014492753623188406
2024.0;0.453416149068323;0.10559006211180125;0.43478260869565216;0.006211180124223602
2026.0;0.5282258064516129;0.10080645161290322;0.3548387096774194;0.016129032258064516
2027.0;0.5484949832775919;0.11371237458193979;0.3277591973244147;0.010033444816053512
2028.0;0.49404761904761907;0.13095238095238096;0.35714285714285715;0.017857142857142856
2030.0;0.5636363636363636;0.08;0.34545454545454546;0.01090909090909091
2041.0;0.6666666666666666;0.06810035842293907;0.25448028673835127;0.010752688172043012
2044.0;0.6090225563909775;0.09774436090225563;0.2706766917293233;0.022556390977443608
2047.0;0.6504854368932039;0.10194174757281553;0.23300970873786409;0.014563106796116505
2048.0;0.6205533596837944;0.08695652173913043;0.2766798418972332;0.015810276679841896
2049.0;0.6302816901408451;0.11267605633802817;0.23943661971830985;0.017605633802816902
2050.0;0.6481481481481481;0.07936507936507936;0.2566137566137566;0.015873015873015872
3003.0;0.2947976878612717;0.10404624277456648;0.5895953757225434;0.011560693641618497
4001.0;0.3709677419354839;0.0967741935483871;0.5161290322580645;0.016129032258064516
4003.0;0.3785310734463277;0.07344632768361582;0.5423728813559322;0.005649717514124294
4004.0;0.49411764705882355;0.09411764705882353;0.4;0.011764705882352941
4007.0;0.4382716049382716;0.09259259259259259;0.4567901234567901;0.012345679012345678
4009.0;0.47368421052631576;0.13157894736842105;0.3894736842105263;0.005263157894736842
5002.0;0.34080717488789236;0.13004484304932734;0.5112107623318386;0.017937219730941704
6002.0;0.5574468085106383;0.10638297872340426;0.32340425531914896;0.01276595744680851
6007.0;0.5054347826086957;0.08152173913043478;0.4076086956521739;0.005434782608695652
6012.0;0.47593582887700536;0.0855614973262032;0.42245989304812837;0.016042780748663103
