NUMSECCENS;Casado/a;Divorciado/a o Separado/a;Soltero/a;Viudo/a
2003.0;0.7771428571428571;0.02857142857142857;0.19428571428571428;0.0
2013.0;0.7394366197183099;0.08450704225352113;0.176056338028169;0.0
2017.0;0.7901785714285714;0.044642857142857144;0.13392857142857142;0.03125
2041.0;0.5280898876404494;0.11797752808988764;0.3539325842696629;0.0
2044.0;0.7375;0.04375;0.21875;0.0
2048.0;0.5775401069518716;0.11764705882352941;0.29411764705882354;0.0106951871657754
2049.0;0.7759562841530054;0.10382513661202186;0.12021857923497267;0.0
2050.0;0.7875;0.0875;0.11666666666666667;0.008333333333333333
6001.0;0.6805555555555556;0.027777777777777776;0.2824074074074074;0.009259259259259259
6024.0;0.4068627450980392;0.03431372549019608;0.5588235294117647;0.0
6029.0;0.5248868778280543;0.02262443438914027;0.45248868778280543;0.0
6039.0;0.5398773006134969;0.049079754601226995;0.3987730061349693;0.012269938650306749
7030.0;0.705;0.05;0.205;0.04
7048.0;0.5919540229885057;0.034482758620689655;0.3735632183908046;0.0
7072.0;0.6708860759493671;0.0;0.31645569620253167;0.012658227848101266
7082.0;0.7428571428571429;0.06857142857142857;0.18857142857142858;0.0
7090.0;0.6728971962616822;0.0;0.32710280373831774;0.0
7092.0;0.7152317880794702;0.023178807947019868;0.26158940397350994;0.0
8006.0;0.6928571428571428;0.06428571428571428;0.21428571428571427;0.02857142857142857
8007.0;0.5777777777777777;0.11851851851851852;0.2814814814814815;0.022222222222222223
8010.0;0.5466666666666666;0.03333333333333333;0.42;0.0
8018.0;0.7433155080213903;0.0213903743315508;0.23529411764705882;0.0
8029.0;0.6666666666666666;0.08333333333333333;0.25;0.0
8033.0;0.6233766233766234;0.025974025974025976;0.35064935064935066;0.0
8035.0;0.7163461538461539;0.07211538461538461;0.1971153846153846;0.014423076923076924
8040.0;0.5679012345679012;0.0;0.41358024691358025;0.018518518518518517
8042.0;0.4855769230769231;0.057692307692307696;0.4567307692307692;0.0
8043.0;0.9003690036900369;0.03690036900369004;0.06273062730627306;0.0
8044.0;0.5692307692307692;0.06666666666666667;0.3641025641025641;0.0
8052.0;0.5858585858585859;0.09090909090909091;0.32323232323232326;0.0
8054.0;0.7792207792207793;0.012987012987012988;0.19480519480519481;0.012987012987012988
8056.0;0.7536764705882353;0.04411764705882353;0.20220588235294118;0.0
8058.0;0.7416267942583732;0.03827751196172249;0.20574162679425836;0.014354066985645933
8059.0;0.708994708994709;0.042328042328042326;0.24867724867724866;0.0
8061.0;0.688212927756654;0.03802281368821293;0.2737642585551331;0.0
8063.0;0.7621621621621621;0.04864864864864865;0.1891891891891892;0.0
8065.0;0.345821325648415;0.02881844380403458;0.6253602305475504;0.0
9003.0;0.5986842105263158;0.039473684210526314;0.3618421052631579;0.0
9007.0;0.3333333333333333;0.1858974358974359;0.4807692307692308;0.0
9011.0;0.4453125;0.046875;0.4609375;0.046875
10001.0;0.4692737430167598;0.0670391061452514;0.4245810055865922;0.03910614525139665
10003.0;0.827433628318584;0.01327433628318584;0.1592920353982301;0.0
10019.0;0.6307692307692307;0.06153846153846154;0.3076923076923077;0.0
10034.0;0.5170454545454546;0.13068181818181818;0.3409090909090909;0.011363636363636364
10066.0;0.5752688172043011;0.10752688172043011;0.3172043010752688;0.0
10068.0;0.7480916030534351;0.015267175572519083;0.2366412213740458;0.0
10069.0;0.625;0.03571428571428571;0.3392857142857143;0.0
10070.0;0.6355140186915887;0.014018691588785047;0.35046728971962615;0.0
10072.0;0.7257142857142858;0.045714285714285714;0.22857142857142856;0.0
11002.0;0.7321428571428571;0.08928571428571429;0.17857142857142858;0.0
11003.0;0.6935483870967742;0.0;0.3064516129032258;0.0
11006.0;0.5986842105263158;0.11842105263157894;0.28289473684210525;0.0
11007.0;0.7127659574468085;0.010638297872340425;0.2765957446808511;0.0
11008.0;0.5140562248995983;0.060240963855421686;0.41767068273092367;0.008032128514056224
