NUMSECCENS;Hogar con un hombre solo de 65 años o más;Hogar con un hombre solo menor de 65 años;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar con una mujer sola de 65 años o más;Hogar con una mujer sola menor de 65 años;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Hogar formado por pareja sin hijos;Otro tipo de hogar
1001.0;0.005136986301369863;0.5565068493150684;0.005136986301369863;0.005136986301369863;0.005136986301369863;0.2568493150684932;0.005136986301369863;0.005136986301369863;0.005136986301369863;0.14554794520547945;0.005136986301369863
1002.0;0.009316770186335404;0.009316770186335404;0.009316770186335404;0.009316770186335404;0.2484472049689441;0.009316770186335404;0.009316770186335404;0.009316770186335404;0.009316770186335404;0.6677018633540373;0.009316770186335404
1003.0;0.006211180124223602;0.006211180124223602;0.006211180124223602;0.006211180124223602;0.3002070393374741;0.006211180124223602;0.2587991718426501;0.062111801242236024;0.006211180124223602;0.16563146997929606;0.17598343685300208
1004.0;0.008670520231213872;0.008670520231213872;0.008670520231213872;0.008670520231213872;0.2023121387283237;0.30346820809248554;0.008670520231213872;0.008670520231213872;0.008670520231213872;0.17341040462427745;0.26011560693641617
2001.0;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.7391304347826086;0.02608695652173913
2002.0;0.008547008547008548;0.008547008547008548;0.008547008547008548;0.2706552706552707;0.2849002849002849;0.008547008547008548;0.008547008547008548;0.008547008547008548;0.008547008547008548;0.21367521367521367;0.17094017094017094
2003.0;0.006493506493506494;0.006493506493506494;0.006493506493506494;0.006493506493506494;0.006493506493506494;0.006493506493506494;0.7575757575757576;0.006493506493506494;0.006493506493506494;0.18398268398268397;0.006493506493506494
2004.0;0.008064516129032258;0.008064516129032258;0.008064516129032258;0.008064516129032258;0.008064516129032258;0.008064516129032258;0.6854838709677419;0.008064516129032258;0.008064516129032258;0.24193548387096775;0.008064516129032258
2005.0;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.7142857142857143;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857
2006.0;0.00683371298405467;0.00683371298405467;0.00683371298405467;0.00683371298405467;0.00683371298405467;0.3416856492027335;0.2619589977220957;0.00683371298405467;0.00683371298405467;0.3416856492027335;0.00683371298405467
2007.0;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.5630630630630631;0.3153153153153153;0.013513513513513514;0.013513513513513514;0.013513513513513514
2008.0;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.013513513513513514;0.5180180180180181;0.013513513513513514;0.013513513513513514;0.36036036036036034;0.013513513513513514
2009.0;0.007481296758104738;0.007481296758104738;0.007481296758104738;0.007481296758104738;0.007481296758104738;0.007481296758104738;0.33665835411471323;0.24937655860349128;0.007481296758104738;0.19950124688279303;0.16209476309226933
2010.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091
2011.0;0.013215859030837005;0.013215859030837005;0.013215859030837005;0.013215859030837005;0.013215859030837005;0.013215859030837005;0.013215859030837005;0.013215859030837005;0.2422907488986784;0.6387665198237885;0.013215859030837005
2012.0;0.012658227848101266;0.012658227848101266;0.012658227848101266;0.012658227848101266;0.2742616033755274;0.012658227848101266;0.012658227848101266;0.012658227848101266;0.012658227848101266;0.6118143459915611;0.012658227848101266
2013.0;0.007246376811594203;0.007246376811594203;0.14492753623188406;0.007246376811594203;0.007246376811594203;0.007246376811594203;0.45893719806763283;0.007246376811594203;0.007246376811594203;0.33816425120772947;0.007246376811594203
2014.0;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.7142857142857143;0.02857142857142857;0.02857142857142857;0.02857142857142857;0.02857142857142857
2015.0;0.013392857142857142;0.013392857142857142;0.013392857142857142;0.013392857142857142;0.29017857142857145;0.013392857142857142;0.35714285714285715;0.013392857142857142;0.013392857142857142;0.24553571428571427;0.013392857142857142
2016.0;0.016216216216216217;0.016216216216216217;0.016216216216216217;0.016216216216216217;0.016216216216216217;0.016216216216216217;0.8378378378378378;0.016216216216216217;0.016216216216216217;0.016216216216216217;0.016216216216216217
2017.0;0.0049504950495049506;0.0049504950495049506;0.0049504950495049506;0.09075907590759076;0.0049504950495049506;0.0049504950495049506;0.5775577557755776;0.15676567656765678;0.0049504950495049506;0.14026402640264027;0.0049504950495049506
2018.0;0.01744186046511628;0.01744186046511628;0.01744186046511628;0.01744186046511628;0.01744186046511628;0.01744186046511628;0.5232558139534884;0.01744186046511628;0.01744186046511628;0.31976744186046513;0.01744186046511628
2019.0;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.7391304347826086;0.02608695652173913;0.02608695652173913;0.02608695652173913;0.02608695652173913
2020.0;0.008547008547008548;0.008547008547008548;0.2564102564102564;0.21367521367521367;0.29914529914529914;0.008547008547008548;0.008547008547008548;0.008547008547008548;0.008547008547008548;0.17094017094017094;0.008547008547008548
