NUMSECCENS;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional
1001.0;0.004347826086956522;0.06956521739130435;0.0;0.05652173913043478;0.06521739130434782;0.013043478260869565;0.20434782608695654;0.25217391304347825;0.09130434782608696;0.08695652173913043;0.10434782608695652;0.05217391304347826
2003.0;0.0;0.026717557251908396;0.0;0.026717557251908396;0.09923664122137404;0.0;0.16030534351145037;0.18702290076335878;0.06870229007633588;0.21755725190839695;0.1183206106870229;0.09541984732824428
2004.0;0.0;0.08695652173913043;0.0;0.010869565217391304;0.03804347826086957;0.005434782608695652;0.16847826086956522;0.41847826086956524;0.11956521739130435;0.02717391304347826;0.09782608695652174;0.02717391304347826
2009.0;0.0;0.03773584905660377;0.009433962264150943;0.04716981132075472;0.08018867924528301;0.0047169811320754715;0.1179245283018868;0.1650943396226415;0.0660377358490566;0.2783018867924528;0.0660377358490566;0.12735849056603774
2013.0;0.0;0.0726643598615917;0.0;0.006920415224913495;0.05536332179930796;0.006920415224913495;0.20761245674740483;0.370242214532872;0.10034602076124567;0.03806228373702422;0.11418685121107267;0.02768166089965398
2020.0;0.0;0.01675977653631285;0.00558659217877095;0.0782122905027933;0.11173184357541899;0.00558659217877095;0.1340782122905028;0.13966480446927373;0.061452513966480445;0.25139664804469275;0.11173184357541899;0.08379888268156424
2022.0;0.0;0.06220095693779904;0.004784688995215311;0.028708133971291867;0.04784688995215311;0.004784688995215311;0.19617224880382775;0.40669856459330145;0.11004784688995216;0.04784688995215311;0.07177033492822966;0.019138755980861243
2024.0;0.0;0.011834319526627219;0.005917159763313609;0.07692307692307693;0.10059171597633136;0.023668639053254437;0.08875739644970414;0.07692307692307693;0.023668639053254437;0.34911242603550297;0.11242603550295859;0.1301775147928994
2026.0;0.0;0.0234375;0.00390625;0.02734375;0.10546875;0.0078125;0.140625;0.13671875;0.04296875;0.2890625;0.09765625;0.125
2027.0;0.0;0.04276315789473684;0.0;0.03289473684210526;0.09210526315789473;0.006578947368421052;0.14473684210526316;0.24671052631578946;0.08223684210526316;0.17763157894736842;0.10197368421052631;0.07236842105263158
2028.0;0.0;0.029411764705882353;0.0058823529411764705;0.03529411764705882;0.08235294117647059;0.011764705882352941;0.19411764705882353;0.2235294117647059;0.07647058823529412;0.1411764705882353;0.14705882352941177;0.052941176470588235
2030.0;0.0;0.028469750889679714;0.0071174377224199285;0.0498220640569395;0.099644128113879;0.010676156583629894;0.12099644128113879;0.2206405693950178;0.0498220640569395;0.2277580071174377;0.08896797153024912;0.09608540925266904
2041.0;0.0;0.06338028169014084;0.0;0.007042253521126761;0.03873239436619718;0.0035211267605633804;0.1795774647887324;0.41901408450704225;0.13732394366197184;0.03873239436619718;0.0880281690140845;0.02464788732394366
2044.0;0.0;0.07407407407407407;0.003703703703703704;0.007407407407407408;0.06666666666666667;0.003703703703703704;0.2037037037037037;0.3296296296296296;0.1037037037037037;0.05185185185185185;0.1259259259259259;0.02962962962962963
2047.0;0.0;0.0821256038647343;0.0;0.004830917874396135;0.033816425120772944;0.0;0.2028985507246377;0.47342995169082125;0.10144927536231885;0.01932367149758454;0.07246376811594203;0.00966183574879227
2048.0;0.0;0.07003891050583658;0.0;0.0038910505836575876;0.03501945525291829;0.0;0.19455252918287938;0.43190661478599224;0.16342412451361868;0.019455252918287938;0.07392996108949416;0.007782101167315175
2049.0;0.0;0.08041958041958042;0.0;0.006993006993006993;0.06643356643356643;0.0;0.2097902097902098;0.33916083916083917;0.10139860139860139;0.03496503496503497;0.12237762237762238;0.038461538461538464
2050.0;0.0;0.0582010582010582;0.0;0.010582010582010581;0.03439153439153439;0.005291005291005291;0.18783068783068782;0.3862433862433862;0.164021164021164;0.0291005291005291;0.09523809523809523;0.0291005291005291
3003.0;0.0;0.05056179775280899;0.0056179775280898875;0.05056179775280899;0.08426966292134831;0.02247191011235955;0.15730337078651685;0.19662921348314608;0.0898876404494382;0.14606741573033707;0.11235955056179775;0.08426966292134831
4001.0;0.0;0.05181347150259067;0.0;0.03626943005181347;0.07253886010362694;0.010362694300518135;0.18652849740932642;0.26424870466321243;0.08290155440414508;0.11917098445595854;0.11917098445595854;0.05699481865284974
4003.0;0.0;0.026881720430107527;0.005376344086021506;0.06451612903225806;0.07526881720430108;0.016129032258064516;0.0913978494623656;0.15053763440860216;0.043010752688172046;0.3279569892473118;0.10752688172043011;0.0913978494623656
4004.0;0.0;0.040229885057471264;0.0;0.028735632183908046;0.09770114942528736;0.005747126436781609;0.14942528735632185;0.1781609195402299;0.08620689655172414;0.21839080459770116;0.13793103448275862;0.05747126436781609
4007.0;0.0;0.02976190476190476;0.005952380952380952;0.05357142857142857;0.10119047619047619;0.005952380952380952;0.16666666666666666;0.21428571428571427;0.047619047619047616;0.17857142857142858;0.10714285714285714;0.08928571428571429
4009.0;0.0;0.04145077720207254;0.0;0.02072538860103627;0.10880829015544041;0.010362694300518135;0.20207253886010362;0.26424870466321243;0.05181347150259067;0.11398963730569948;0.11917098445595854;0.06735751295336788
