NUMERO;Casado/a;Divorciado/a o Separado/a;Soltero/a;Viudo/a
1.0;0.39080459770114945;0.11877394636015326;0.47126436781609193;0.019157088122605363
2.0;0.5435103244837758;0.10004916420845625;0.33997050147492625;0.016470009832841692
3.0;0.2887139107611549;0.09711286089238845;0.5984251968503937;0.015748031496062992
4.0;0.44153674832962136;0.10022271714922049;0.4471046770601336;0.011135857461024499
5.0;0.3418013856812933;0.11316397228637413;0.5334872979214781;0.011547344110854504
6.0;0.4497876213592233;0.10876820388349515;0.4274878640776699;0.013956310679611651
7.0;0.4623039566913462;0.10755513096091075;0.41835841095454185;0.011782501393201179
8.0;0.5407549414953394;0.0969789118794209;0.35215178158260063;0.01011436504263899
9.0;0.4329602558245774;0.10324349017816355;0.4498629511192325;0.013933302878026497
10.0;0.48302972195589644;0.1024928092042186;0.40287631831255993;0.011601150527325023
11.0;0.5396039603960396;0.10586443259710586;0.34386900228484385;0.010662604722010662
