NUMERO;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales
1.0;0.06457925636007827;0.38551859099804303;0.13894324853228962;0.1095890410958904;0.1898238747553816;0.005870841487279843;0.0273972602739726;0.0136986301369863;0.06457925636007827
2.0;0.07301270869673561;0.3812609020682781;0.12683777722402192;0.11101420383752804;0.16583603289309742;0.00573137303762771;0.04472962870670322;0.01893845003737852;0.07263892349862945
3.0;0.05570291777188329;0.33156498673740054;0.11936339522546419;0.09018567639257294;0.23872679045092837;0.002652519893899204;0.050397877984084884;0.01856763925729443;0.09283819628647215
4.0;0.03388888888888889;0.29833333333333334;0.11944444444444445;0.13;0.2388888888888889;0.002777777777777778;0.051666666666666666;0.02666666666666667;0.09833333333333333
5.0;0.0367816091954023;0.2597701149425287;0.12643678160919541;0.11954022988505747;0.26436781609195403;0.006896551724137931;0.052873563218390804;0.022988505747126436;0.1103448275862069
6.0;0.020943997571710428;0.15465169221429656;0.09819395962968584;0.10471998785855213;0.2977690089543178;0.004553042950371832;0.09834572772803157;0.058886022158142357;0.16193656093489148
7.0;0.021354581673306772;0.16223107569721115;0.09928286852589642;0.10071713147410359;0.2952988047808765;0.005258964143426295;0.09792828685258964;0.055298804780876495;0.16262948207171316
8.0;0.027932212472369215;0.19927657579208252;0.11420724763882377;0.12097260365731127;0.24837564471833345;0.004755844329827852;0.10047558443298278;0.06001741576796838;0.12398687119030076
9.0;0.028541953232462173;0.2310866574965612;0.10522696011004126;0.11221916552040348;0.2587116001834021;0.004814305364511692;0.07290233837689133;0.041838606143970655;0.14465841357175607
10.0;0.02653927813163482;0.18027407836325035;0.1040339702760085;0.10885929357266937;0.2837290098436595;0.003956765103261918;0.09380428488708743;0.05336807566106929;0.1454352441613588
11.0;0.04665629860031104;0.18040435458786935;0.12713841368584758;0.10847589424572317;0.2818818040435459;0.00583203732503888;0.0890357698289269;0.05287713841368585;0.10769828926905133
