NUMERO;En alquiler;En propiedad;Otro régimen de tenencia
1.0;0.22786647314949202;0.6705370101596516;0.10159651669085631
2.0;0.131788834029624;0.8020002531966072;0.06621091277376884
3.0;0.2504930966469428;0.6489151873767258;0.10059171597633136
4.0;0.17688348151614414;0.741693963500234;0.0814225549836219
5.0;0.2551369863013699;0.666095890410959;0.07876712328767123
6.0;0.14399574920297556;0.7894527098831031;0.06655154091392136
7.0;0.1447422119439532;0.7813222690790369;0.07393551897700994
8.0;0.10885458976441917;0.8381212613544051;0.05302414888117569
9.0;0.15374921235034655;0.7695562156809794;0.07669457196867405
10.0;0.10991083676268862;0.8282750342935528;0.061814128943758574
11.0;0.10892333472978634;0.8466694595726854;0.044407205697528276
