NUMERO;15-19;20-34;35-64;65+;Casado/a;Divorciado/a o Separado/a;Soltero/a;Viudo/a;Hogar con un hombre solo de 65 años o más;Hogar con un hombre solo menor de 65 años;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar con una mujer sola de 65 años o más;Hogar con una mujer sola menor de 65 años;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Hogar formado por pareja sin hijos;Otro tipo de hogar;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;América Central, Sur y Caribe;América del Norte;Asia;Española;Oceanía;Resto de Europa;Unión Europea (sin España);África;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales;NOMBRE;median_price_inf;En alquiler;En propiedad;Otro régimen de tenencia;Trabajador por cuenta ajena fijo o indefinido;Trabajador por cuenta ajena temporal;Trabajador por cuenta propia que emplea personal;Trabajador por cuenta propia que no emplea personal;SES_21;kw_pct_21;he_pct_21
1.0;0.001865671641791;0.208955223880597;0.75;0.0391791044776119;0.3908045977011494;0.1187739463601532;0.4712643678160919;0.0191570881226053;0.0537790697674418;0.1526162790697674;0.0465116279069767;0.0450581395348837;0.1337209302325581;0.1322674418604651;0.0930232558139534;0.0319767441860465;0.0479651162790697;0.1395348837209302;0.1235465116279069;0.0;0.0672897196261682;0.0;0.0523364485981308;0.0560747663551401;0.011214953271028;0.1794392523364485;0.2990654205607476;0.0990654205607476;0.0878504672897196;0.1046728971962616;0.0429906542056074;0.0355140186915887;0.0037383177570093;0.0093457943925233;0.8392523364485981;0.0;0.0299065420560747;0.0672897196261682;0.0149532710280373;0.0645792563600782;0.385518590998043;0.1389432485322896;0.1095890410958904;0.1898238747553816;0.0058708414872798;0.0273972602739726;0.0136986301369863;0.0645792563600782;CENTRO;3097.2203654999994;0.227866473149492;0.6705370101596516;0.1015965166908563;0.5355805243445693;0.1666666666666666;0.0674157303370786;0.2303370786516854;2.187764083919705;0.5890410958904109;0.4654205607476635
2.0;0.0024128362890577;0.1947158885269634;0.7693328507660755;0.0335384244179032;0.5435103244837758;0.1000491642084562;0.3399705014749262;0.0164700098328416;0.0294899379825338;0.0612580685989115;0.0764460194912036;0.066447285153778;0.0847993924819643;0.0570813821035312;0.2303505885330971;0.0839134286799139;0.097456018225541;0.1390963169219086;0.0736615618276167;0.0;0.0558369512783405;0.0015677761698022;0.0284611673902556;0.0665701881331403;0.0056681138446695;0.1676314520019295;0.2982392667631452;0.0940665701881331;0.1246985045827303;0.1020260492040521;0.0552339604438012;0.0137465332207886;0.0010852526226938;0.0047027613650066;0.9399493548776076;0.0;0.0104907753527071;0.0238755576992644;0.0061497648619317;0.0730127086967356;0.3812609020682781;0.1268377772240219;0.111014203837528;0.1658360328930974;0.0057313730376277;0.0447296287067032;0.0189384500373785;0.0726389234986294;ESTE;3240.393552;0.131788834029624;0.8020002531966072;0.0662109127737688;0.570824268793812;0.1762146482958665;0.0699782451051486;0.1829828378051728;2.351693273635254;0.5811113879890356;0.4481427882296189
3.0;0.0;0.2743589743589744;0.7025641025641025;0.023076923076923;0.2887139107611549;0.0971128608923884;0.5984251968503937;0.0157480314960629;0.0374753451676528;0.1913214990138067;0.0532544378698224;0.0433925049309664;0.0887573964497041;0.165680473372781;0.0828402366863905;0.019723865877712;0.0335305719921104;0.1420118343195266;0.1420118343195266;0.0;0.0516795865633074;0.0025839793281653;0.0516795865633074;0.0775193798449612;0.0180878552971576;0.1550387596899224;0.2325581395348837;0.0904392764857881;0.1240310077519379;0.1266149870801033;0.0697674418604651;0.0493506493506493;0.0025974025974025;0.0051948051948051;0.7974025974025974;0.0;0.0233766233766233;0.0961038961038961;0.0259740259740259;0.0557029177718832;0.3315649867374005;0.1193633952254641;0.0901856763925729;0.2387267904509283;0.0026525198938992;0.0503978779840848;0.0185676392572944;0.0928381962864721;CIUDAD JARDIN;1597.41702;0.2504930966469428;0.6489151873767258;0.1005917159763313;0.5449871465295629;0.2082262210796915;0.0411311053984575;0.2056555269922879;-0.3462143906305575;0.506631299734748;0.3746770025839793
4.0;0.0037960954446854;0.2315618221258134;0.7472885032537961;0.0173535791757049;0.4415367483296213;0.1002227171492204;0.4471046770601336;0.0111358574610244;0.0308844174075807;0.1024801123069723;0.0715956948993916;0.0575573233504913;0.0987365465605989;0.0963968179691155;0.171268132896584;0.0566214319138979;0.0711277491810949;0.1417875526438933;0.101544220870379;0.0;0.0341278439869989;0.0021668472372697;0.0373781148429035;0.099133261105092;0.0097508125677139;0.1717226435536294;0.2145178764897074;0.0720476706392199;0.1679306608884073;0.1170097508125677;0.0742145178764897;0.0287107258938244;0.0010834236186348;0.0113759479956663;0.8927410617551462;0.0005417118093174;0.0146262188515709;0.0373781148429035;0.013542795232936;0.0338888888888888;0.2983333333333333;0.1194444444444444;0.13;0.2388888888888889;0.0027777777777777;0.0516666666666666;0.0266666666666666;0.0983333333333333;BAILEN-MIRAFLORES;1827.690669;0.1768834815161441;0.741693963500234;0.0814225549836219;0.5960805661404464;0.2231899836690256;0.0326619488296135;0.1480675013609145;-0.2206337502013183;0.4516666666666667;0.3206933911159263
6.0;0.0035476718403547;0.2551367331855136;0.7312638580931264;0.0100517368810051;0.4497876213592233;0.1087682038834951;0.4274878640776699;0.0139563106796116;0.0270952317704874;0.0783636605126842;0.07929339885775;0.0645504051002789;0.0858015672732102;0.0677380794262186;0.2175587727453845;0.0677380794262186;0.0804887767299774;0.1478283968654535;0.0835436312923363;0.0001478415138971;0.0110881135422826;0.0016262566528681;0.044795978710822;0.1238911886457717;0.0085748078060319;0.1249260792430514;0.0953577764636309;0.039030159668835;0.3246599645180367;0.1023063276167948;0.1235955056179775;0.0199586043761088;0.0005913660555884;0.0069485511531638;0.9339148432879952;0.0;0.0084269662921348;0.0168539325842696;0.0133057362507392;0.0209439975717104;0.1546516922142965;0.0981939596296858;0.1047199878585521;0.2977690089543178;0.0045530429503718;0.0983457277280315;0.0588860221581423;0.1619365609348914;CRUZ DE HUMILLADERO;1971.295289;0.1439957492029755;0.7894527098831031;0.0665515409139213;0.6028800475059383;0.2494061757719715;0.034293349168646;0.1134204275534441;-0.6974939214459077;0.2737896494156928;0.1454760496747486
7.0;0.0035689347505624;0.2513771433004887;0.7341919466211498;0.0108619753277988;0.4623039566913462;0.1075551309609107;0.4183584109545418;0.0117825013932011;0.0245544823833492;0.079581009386478;0.0807373146510678;0.0618963406339273;0.0784927220786287;0.0670657053462114;0.216909264045708;0.0648891307305128;0.0877431641953475;0.1439940144198068;0.094136852128962;0.0003879878947776;0.012881198106619;0.0022503297897105;0.057422208427097;0.1181811127492822;0.0122604174749747;0.1277256149608132;0.0950570342205323;0.0394195701094125;0.312951035927679;0.1032047800108636;0.1182587103282377;0.0249941783746021;0.0004657300318248;0.0093922223084685;0.9116665372972134;0.0;0.011255142435768;0.0152914693782504;0.0269347201738725;0.0213545816733067;0.1622310756972111;0.0992828685258964;0.1007171314741035;0.2952988047808765;0.0052589641434262;0.0979282868525896;0.0552988047808764;0.1626294820717131;CARRETERA DE CADIZ;2295.304323;0.1447422119439532;0.7813222690790369;0.0739355189770099;0.5971009975062345;0.2598192019950124;0.0305486284289276;0.1125311720698254;-0.1986613383196996;0.2828685258964143;0.1473578024365639
8.0;0.0041061070194877;0.2156032066740533;0.7727302352864498;0.0075604510200091;0.5407549414953394;0.0969789118794209;0.3521517815826006;0.0101143650426389;0.0167639022228786;0.0782807768997858;0.085074957536371;0.0454176205597814;0.0471900155084558;0.0590059818329517;0.3176279447603574;0.0642493168894468;0.0852226571154272;0.138320655786131;0.0628461708884129;0.0001303441084462;0.0202033368091762;0.0024113660062565;0.0357142857142857;0.1321689259645464;0.0060610010427528;0.1476147028154327;0.1215458811261731;0.0492700729927007;0.2739181438998957;0.1001694473409801;0.1107924921793535;0.0106258148631029;0.0003911342894393;0.0067144719687092;0.9627118644067796;6.51890482398957e-05;0.0043024771838331;0.0084093872229465;0.0067796610169491;0.0279322124723692;0.1992765757920825;0.1142072476388237;0.1209726036573112;0.2483756447183334;0.0047558443298278;0.1004755844329827;0.0600174157679683;0.1239868711903007;CHURRIANA;2100.4265;0.1088545897644191;0.8381212613544051;0.0530241488811756;0.6406066152438227;0.2237547391815923;0.0300039220813178;0.1056347234932671;-0.2810467327647129;0.3414160359032755;0.19101929092805
9.0;0.0028898521729465;0.2505279537623652;0.7289096365455152;0.017672557519173;0.4329602558245774;0.1032434901781635;0.4498629511192325;0.0139333028780264;0.033939503060857;0.0774216780698595;0.0666186532229024;0.0699495858840475;0.1114512063377745;0.0796723082463089;0.158894490457328;0.0670687792581923;0.0732805185451926;0.1631256751890529;0.0985776017284839;0.0004443950672147;0.0241084323964004;0.0014442839684479;0.0606599266748139;0.1033218531274302;0.0147761359848905;0.1483168536829241;0.1464281746472614;0.0612154205088323;0.237862459726697;0.1045439395622708;0.0968781246528163;0.0306700744527169;0.00055561729081;0.0154461606845205;0.8863207023002556;0.0;0.0241137904211579;0.0228914323813757;0.0200022224691632;0.0285419532324621;0.2310866574965612;0.1052269601100412;0.1122191655204034;0.2587116001834021;0.0048143053645116;0.0729023383768913;0.0418386061439706;0.144658413571756;CAMPANILLAS;1590.3343225;0.1537492123503465;0.7695562156809794;0.076694571968674;0.6046381982383766;0.2517560486118854;0.0306611662392685;0.1129445869104694;-0.9098943514414688;0.3648555708390646;0.2317520275524941
10.0;0.0035724358371721;0.2283538591708188;0.7571683745416941;0.0109053304503149;0.4830297219558964;0.1024928092042186;0.4028763183125599;0.011601150527325;0.0239218039955414;0.0684215039012261;0.0757095087027351;0.0621623938952242;0.0841978907656692;0.0625911000600188;0.2316728114550287;0.0777672982937494;0.0760524736345708;0.1628226013890079;0.0746806139072279;0.0002821139740455;0.0157043445552003;0.0028211397404551;0.0509685913108896;0.1155726913673124;0.0096859131088959;0.1241301485800263;0.11886402106451;0.0469249576829038;0.2964077487304871;0.1085198420161745;0.1101184878690991;0.0165460186142709;0.000376045877597;0.0122214910219046;0.9310895929303376;9.401146939926672e-05;0.0161699727366738;0.0145717777568863;0.0089310895929303;0.0265392781316348;0.1802740783632503;0.1040339702760085;0.1088592935726693;0.2837290098436595;0.0039567651032619;0.0938042848870874;0.0533680756610692;0.1454352441613588;PUERTO DE LA TORRE;2004.12252;0.1099108367626886;0.8282750342935528;0.0618141289437585;0.6320105570741823;0.2335752662833443;0.0274295409557922;0.1069846356866811;-0.5069079045257641;0.3108473267708936;0.1814933233026142
11.0;0.0041400075272864;0.2243131351147911;0.7576213774934136;0.0139254798645088;0.5396039603960396;0.1058644325971058;0.3438690022848438;0.0106626047220106;0.0221943048576214;0.0703517587939698;0.0850083752093802;0.0464824120603015;0.0431323283082077;0.045644891122278;0.2969011725293132;0.0665829145728643;0.1000837520938023;0.1545226130653266;0.0690954773869346;0.0003763643206624;0.015054572826496;0.001881821603312;0.0440346255175009;0.1208129469326307;0.0071509220925856;0.1373729770417764;0.1132856605193827;0.0474219044034625;0.27587504704554;0.127587504704554;0.1091456529920963;0.0112951807228915;0.0003765060240963;0.0135542168674698;0.9416415662650602;0.0;0.0075301204819277;0.0188253012048192;0.0067771084337349;0.046656298600311;0.1804043545878693;0.1271384136858475;0.1084758942457231;0.2818818040435459;0.0058320373250388;0.0890357698289269;0.0528771384136858;0.1076982892690513;TEATINOS-UNIVERSIDAD;2581.441308;0.1089233347297863;0.8466694595726854;0.0444072056975282;0.6140483383685801;0.1975075528700906;0.0422960725075528;0.1461480362537764;0.4285221193910283;0.3541990668740279;0.1757621377493413
