NUMSECCENS;Seccion de residencia;kw_pct
1001.0;Sección 2906701001;0.4103019538188277
1002.0;Sección 2906701002;0.899441340782123
1003.0;Sección 2906701003;0.9246861924686192
1004.0;Sección 2906701004;0.3055555555555556
2001.0;Sección 2906702001;0.3333333333333333
2002.0;Sección 2906702002;0.6398305084745762
2003.0;Sección 2906702003;0.40682788051209107
2004.0;Sección 2906702004;0.725378787878788
2005.0;Sección 2906702005;0.9305019305019304
2006.0;Sección 2906702006;0.6189376443418013
2007.0;Sección 2906702007;0.9411764705882353
2008.0;Sección 2906702008;0.792332268370607
2009.0;Sección 2906702009;0.041666666666666664
2010.0;Sección 2906702010;0.9354838709677419
2011.0;Sección 2906702011;0.42528735632183906
2012.0;Sección 2906702012;0.049723756906077346
2013.0;Sección 2906702013;0.7535321821036107
2014.0;Sección 2906702014;0.8791946308724832
2015.0;Sección 2906702015;0.58984375
2016.0;Sección 2906702016;0.6453900709219859
2017.0;Sección 2906702017;0.713
2018.0;Sección 2906702018;0.5777027027027026
2019.0;Sección 2906702019;0.03585657370517928
2020.0;Sección 2906702020;0.05325443786982249
2021.0;Sección 2906702021;0.060402684563758385
2022.0;Sección 2906702022;0.9514824797843666
2023.0;Sección 2906702023;0.28859060402684567
2024.0;Sección 2906702024;0.02990033222591362
2025.0;Sección 2906702025;0.3333333333333333
2026.0;Sección 2906702026;0.2517857142857143
2027.0;Sección 2906702027;0.7419354838709677
2028.0;Sección 2906702028;0.47265625
2029.0;Sección 2906702029;0.5161290322580645
2030.0;Sección 2906702030;0.34918032786885245
2031.0;Sección 2906702031;0.3333333333333333
2032.0;Sección 2906702032;0.9047619047619047
2033.0;Sección 2906702033;0.834307992202729
2034.0;Sección 2906702034;0.883116883116883
2035.0;Sección 2906702035;0.6484375
2036.0;Sección 2906702036;0.9138755980861243
2037.0;Sección 2906702037;0.8326771653543307
2038.0;Sección 2906702038;0.9095477386934673
2039.0;Sección 2906702039;0.8085106382978723
2040.0;Sección 2906702040;0.9138755980861243
2041.0;Sección 2906702041;0.49624060150375937
2042.0;Sección 2906702042;0.942122186495177
2043.0;Sección 2906702043;0.966728280961183
2044.0;Sección 2906702044;0.8466666666666667
2045.0;Sección 2906702045;0.04838709677419355
2046.0;Sección 2906702046;0.7721518987341772
2047.0;Sección 2906702047;0.7817047817047817
2048.0;Sección 2906702048;0.6092105263157895
2049.0;Sección 2906702049;0.9047619047619047
2050.0;Sección 2906702050;0.8506787330316743
3001.0;Sección 2906703001;0.883116883116883
3002.0;Sección 2906703002;0.9487179487179487
3003.0;Sección 2906703003;0.26876513317191286
4001.0;Sección 2906704001;0.8656716417910447
4002.0;Sección 2906704002;0.6309963099630995
4003.0;Sección 2906704003;0.8902439024390244
4004.0;Sección 2906704004;0.5626822157434402
4005.0;Sección 2906704005;0.08653846153846154
4006.0;Sección 2906704006;0.4709897610921501
4007.0;Sección 2906704007;0.2598039215686274
4008.0;Sección 2906704008;0.8085106382978723
4009.0;Sección 2906704009;0.4501278772378517
4010.0;Sección 2906704010;0.5561643835616439
4011.0;Sección 2906704011;0.9117647058823529
4012.0;Sección 2906704012;0.3333333333333333
4013.0;Sección 2906704013;0.35840707964601776
