NUMERO;15-19;20-34;35-64;65+
1.0;0.0018656716417910447;0.208955223880597;0.75;0.03917910447761194
2.0;0.0024128362890577875;0.19471588852696345;0.7693328507660755;0.033538424417903244
3.0;0.0;0.2743589743589744;0.7025641025641025;0.023076923076923078
4.0;0.003796095444685466;0.23156182212581344;0.7472885032537961;0.01735357917570499
5.0;0.0045045045045045045;0.24774774774774774;0.7364864864864865;0.01126126126126126
6.0;0.003547671840354767;0.25513673318551366;0.7312638580931264;0.010051736881005174
7.0;0.003568934750562495;0.25137714330048877;0.7341919466211498;0.010861975327798899
8.0;0.004106107019487714;0.2156032066740533;0.7727302352864498;0.007560451020009125
9.0;0.0028898521729465378;0.25052795376236525;0.7289096365455152;0.017672557519173057
10.0;0.003572435837172135;0.22835385917081885;0.7571683745416941;0.010905330450314938
11.0;0.0041400075272864136;0.22431313511479112;0.7576213774934136;0.013925479864508844
