NUMSECCENS;Trabajador por cuenta ajena fijo o indefinido;Trabajador por cuenta ajena temporal;Trabajador por cuenta propia que emplea personal;Trabajador por cuenta propia que no emplea personal
1001.0;0.5283842794759825;0.16593886462882096;0.06550218340611354;0.24017467248908297
2003.0;0.6060606060606061;0.1893939393939394;0.04924242424242424;0.1553030303030303
2004.0;0.5191256830601093;0.1366120218579235;0.12568306010928962;0.2185792349726776
2009.0;0.5619047619047619;0.22857142857142856;0.07142857142857142;0.1380952380952381
2013.0;0.5413793103448276;0.13448275862068965;0.09310344827586207;0.23103448275862068
2020.0;0.6111111111111112;0.2222222222222222;0.044444444444444446;0.12222222222222222
2022.0;0.5523809523809524;0.1619047619047619;0.08571428571428572;0.2
2024.0;0.5941176470588235;0.2823529411764706;0.029411764705882353;0.09411764705882353
2026.0;0.6039215686274509;0.25098039215686274;0.03137254901960784;0.11372549019607843
2027.0;0.5577557755775577;0.16831683168316833;0.07590759075907591;0.19801980198019803
2028.0;0.5798816568047337;0.22485207100591717;0.04142011834319527;0.15384615384615385
2030.0;0.5591397849462365;0.22580645161290322;0.05017921146953405;0.16487455197132617
2041.0;0.5936395759717314;0.1413427561837456;0.08480565371024736;0.18021201413427562
2044.0;0.6268656716417911;0.1044776119402985;0.05970149253731343;0.208955223880597
2047.0;0.5728155339805825;0.11650485436893204;0.08737864077669903;0.22330097087378642
2048.0;0.622568093385214;0.11673151750972763;0.09727626459143969;0.16342412451361868
2049.0;0.6197183098591549;0.15492957746478872;0.05985915492957746;0.16549295774647887
2050.0;0.5714285714285714;0.1349206349206349;0.08994708994708994;0.2037037037037037
3003.0;0.5480225988700564;0.23728813559322035;0.03954802259887006;0.1751412429378531
4001.0;0.5958549222797928;0.20207253886010362;0.04145077720207254;0.16062176165803108
4003.0;0.5459459459459459;0.2864864864864865;0.032432432432432434;0.13513513513513514
4004.0;0.6091954022988506;0.20689655172413793;0.028735632183908046;0.15517241379310345
4007.0;0.6167664670658682;0.24550898203592814;0.023952095808383235;0.11377245508982035
4009.0;0.6373056994818653;0.18134715025906736;0.025906735751295335;0.15544041450777202
5002.0;0.5695652173913044;0.26956521739130435;0.02608695652173913;0.13478260869565217
6002.0;0.6218487394957983;0.24369747899159663;0.03361344537815126;0.10084033613445378
6007.0;0.5319148936170213;0.26595744680851063;0.06382978723404255;0.13829787234042554
6012.0;0.6455026455026455;0.20634920634920634;0.026455026455026454;0.12169312169312169
6013.0;0.5778688524590164;0.2581967213114754;0.036885245901639344;0.12704918032786885
6019.0;0.550561797752809;0.2752808988764045;0.03932584269662921;0.1348314606741573
6025.0;0.555;0.275;0.045;0.125
6028.0;0.608843537414966;0.24489795918367346;0.030612244897959183;0.11564625850340136
6031.0;0.5764705882352941;0.24705882352941178;0.047058823529411764;0.12941176470588237
6039.0;0.6175115207373272;0.17972350230414746;0.05069124423963134;0.15207373271889402
6048.0;0.6766666666666666;0.18333333333333332;0.02666666666666667;0.11333333333333333
7005.0;0.6467889908256881;0.1926605504587156;0.022935779816513763;0.13761467889908258
7011.0;0.6397849462365591;0.20967741935483872;0.03225806451612903;0.11827956989247312
7023.0;0.6349809885931559;0.2623574144486692;0.022813688212927757;0.07984790874524715
7027.0;0.5388127853881278;0.1689497716894977;0.0776255707762557;0.2146118721461187
7030.0;0.6494252873563219;0.20114942528735633;0.022988505747126436;0.12643678160919541
7034.0;0.602510460251046;0.26778242677824265;0.02510460251046025;0.10460251046025104
7043.0;0.6008771929824561;0.2543859649122807;0.02631578947368421;0.11842105263157894
7046.0;0.5827067669172933;0.21804511278195488;0.045112781954887216;0.15413533834586465
7048.0;0.6211453744493393;0.2290748898678414;0.030837004405286344;0.11894273127753303
7050.0;0.6030150753768844;0.2613065326633166;0.03015075376884422;0.10552763819095477
7066.0;0.6369047619047619;0.2619047619047619;0.023809523809523808;0.07738095238095238
