NUMERO;América Central, Sur y Caribe;América del Norte;Asia;Española;Oceanía;Resto de Europa;Unión Europea (sin España);África
1.0;0.03551401869158879;0.003738317757009346;0.009345794392523364;0.8392523364485981;0.0;0.029906542056074768;0.06728971962616823;0.014953271028037384
2.0;0.013746533220788617;0.0010852526226938382;0.004702761365006632;0.9399493548776077;0.0;0.010490775352707102;0.02387555769926444;0.006149764861931749
3.0;0.04935064935064935;0.0025974025974025974;0.005194805194805195;0.7974025974025974;0.0;0.023376623376623377;0.09610389610389611;0.025974025974025976
4.0;0.028710725893824486;0.0010834236186348862;0.011375947995666305;0.8927410617551462;0.0005417118093174431;0.014626218851570965;0.03737811484290358;0.013542795232936078
5.0;0.03153153153153153;0.0045045045045045045;0.01126126126126126;0.8445945945945946;0.0;0.02027027027027027;0.07207207207207207;0.015765765765765764
6.0;0.019958604376108812;0.0005913660555884093;0.006948551153163809;0.9339148432879952;0.0;0.008426966292134831;0.016853932584269662;0.013305736250739207
7.0;0.02499417837460219;0.00046573003182488553;0.009392222308468524;0.9116665372972134;0.0;0.011255142435768067;0.015291469378250407;0.026934720173872544
8.0;0.010625814863102998;0.0003911342894393742;0.0067144719687092565;0.9627118644067797;6.51890482398957e-05;0.004302477183833116;0.008409387222946546;0.006779661016949152
9.0;0.03067007445271697;0.00055561729081009;0.015446160684520501;0.8863207023002556;0.0;0.024113790421157907;0.02289143238137571;0.02000222246916324
10.0;0.016546018614270942;0.00037604587759706683;0.012221491021904672;0.9310895929303376;9.401146939926671e-05;0.016169972736673876;0.01457177775688634;0.008931089592930338
11.0;0.011295180722891566;0.00037650602409638556;0.01355421686746988;0.9416415662650602;0.0;0.007530120481927711;0.01882530120481928;0.00677710843373494
