NUMERO;América Central, Sur y Caribe;América del Norte;Asia;Española;Oceanía;Resto de Europa;Unión Europea (sin España);África
1.0;0.08136482939632546;0.049868766404199474;0.0;0.8136482939632546;0.0;0.015748031496062992;0.03937007874015748;0.0
2.0;0.023555027711797308;0.0;0.0;0.9313143309580364;0.0;0.01227236737925574;0.023357086302454474;0.009501187648456057
3.0;0.0024057738572574178;0.0;0.0024057738572574178;0.9903769045709703;0.0;0.0;0.0024057738572574178;0.0024057738572574178
4.0;0.027678571428571427;0.0;0.025;0.9258928571428572;0.0;0.007142857142857143;0.010714285714285714;0.0035714285714285713
5.0;0.05434782608695652;0.0;0.002717391304347826;0.9375;0.0;0.0;0.002717391304347826;0.002717391304347826
6.0;0.02014125032696835;0.0;0.00837038974627256;0.9453308919696574;0.0007847240387130526;0.00104629871828407;0.011247711221553753;0.013078733978550876
7.0;0.03676155056501216;0.0008582463166928909;0.006436847375196682;0.9220426262337291;0.0;0.0014304105278214847;0.015591474753254184;0.01687884422829352
8.0;0.015386656055179733;0.0;0.001061148693460671;0.9624618649688288;0.0;0.0017243666268735908;0.017243666268735906;0.002122297386921342
9.0;0.04997083414349601;0.0;0.00991639121135524;0.8714757923391017;0.0;0.024110441376628426;0.027804783200466653;0.016721757728951972
10.0;0.02975790181573638;0.0;0.0;0.9414929388029589;0.0;0.006893073301950235;0.00991930060524546;0.011936785474108945
11.0;0.005921539600296077;0.0;0.0029607698001480384;0.9133974833456698;0.0;0.005921539600296077;0.043671354552183565;0.028127313101406367
