NUMSECCENS;En alquiler;En propiedad;Otro régimen de tenencia
1001.0;0.2516778523489933;0.6510067114093959;0.09731543624161074
1003.0;0.16666666666666666;0.7419354838709677;0.0913978494623656
1004.0;0.2524271844660194;0.6310679611650486;0.11650485436893204
2002.0;0.1871345029239766;0.7602339181286549;0.05263157894736842
2003.0;0.05970149253731343;0.9104477611940298;0.029850746268656716
2004.0;0.14705882352941177;0.7941176470588235;0.058823529411764705
2006.0;0.19597989949748743;0.7185929648241206;0.08542713567839195
2009.0;0.178743961352657;0.7439613526570048;0.07729468599033816
2012.0;0.15730337078651685;0.7415730337078652;0.10112359550561797
2013.0;0.09361702127659574;0.8723404255319149;0.03404255319148936
2020.0;0.14953271028037382;0.7663551401869159;0.08411214953271028
2023.0;0.16374269005847952;0.7660818713450293;0.07017543859649122
2024.0;0.17486338797814208;0.7595628415300546;0.06557377049180328
2026.0;0.10843373493975904;0.8313253012048193;0.060240963855421686
2027.0;0.1003584229390681;0.8315412186379928;0.06810035842293907
2028.0;0.19597989949748743;0.678391959798995;0.12562814070351758
2030.0;0.12444444444444444;0.8311111111111111;0.044444444444444446
2032.0;0.12574850299401197;0.8203592814371258;0.05389221556886228
2041.0;0.08040201005025126;0.8844221105527639;0.035175879396984924
2044.0;0.08737864077669903;0.8737864077669902;0.038834951456310676
2048.0;0.09844559585492228;0.8549222797927462;0.046632124352331605
2049.0;0.0867579908675799;0.8858447488584474;0.0273972602739726
2050.0;0.09716599190283401;0.8582995951417004;0.044534412955465584
3003.0;0.23423423423423423;0.6801801801801802;0.08558558558558559
4001.0;0.2288135593220339;0.673728813559322;0.09745762711864407
4003.0;0.24603174603174602;0.6865079365079365;0.06746031746031746
4004.0;0.14594594594594595;0.7783783783783784;0.07567567567567568
4007.0;0.18324607329842932;0.7382198952879581;0.07853403141361257
4009.0;0.14096916299559473;0.762114537444934;0.09691629955947137
5002.0;0.24092409240924093;0.6732673267326733;0.0858085808580858
6002.0;0.10194174757281553;0.8543689320388349;0.043689320388349516
6007.0;0.1276595744680851;0.824468085106383;0.047872340425531915
6010.0;0.2048780487804878;0.7121951219512195;0.08292682926829269
6011.0;0.140625;0.78125;0.078125
6012.0;0.1346153846153846;0.7932692307692307;0.07211538461538461
6013.0;0.18181818181818182;0.7381818181818182;0.08
6016.0;0.2;0.7135135135135136;0.08648648648648649
6017.0;0.1676300578034682;0.7803468208092486;0.05202312138728324
6019.0;0.2384937238493724;0.6652719665271967;0.09623430962343096
6022.0;0.30660377358490565;0.589622641509434;0.10377358490566038
6023.0;0.09659090909090909;0.8522727272727273;0.05113636363636364
6025.0;0.09574468085106383;0.8723404255319149;0.031914893617021274
6027.0;0.2958579881656805;0.5857988165680473;0.11834319526627218
6028.0;0.1526479750778816;0.7850467289719626;0.06230529595015576
6031.0;0.10344827586206896;0.8275862068965517;0.06896551724137931
6039.0;0.06951871657754011;0.893048128342246;0.0374331550802139
6048.0;0.18009478672985782;0.7582938388625592;0.061611374407582936
7001.0;0.2710843373493976;0.6204819277108434;0.10843373493975904
7005.0;0.06878306878306878;0.9047619047619048;0.026455026455026454
7006.0;0.21637426900584794;0.672514619883041;0.1111111111111111
7009.0;0.16417910447761194;0.7412935323383084;0.0945273631840796
7011.0;0.1956521739130435;0.7304347826086957;0.07391304347826087
7013.0;0.19680851063829788;0.7287234042553191;0.07446808510638298
7016.0;0.178743961352657;0.7294685990338164;0.09178743961352658
7023.0;0.13157894736842105;0.7894736842105263;0.07894736842105263
7026.0;0.30042918454935624;0.6008583690987125;0.09871244635193133
7027.0;0.05952380952380952;0.9226190476190477;0.017857142857142856
7034.0;0.1895910780669145;0.7360594795539034;0.07434944237918216
7035.0;0.10695187165775401;0.8128342245989305;0.08021390374331551
7037.0;0.23076923076923078;0.6615384615384615;0.1076923076923077
7042.0;0.1414141414141414;0.803030303030303;0.05555555555555555
7043.0;0.09745762711864407;0.8389830508474576;0.0635593220338983
7046.0;0.13100436681222707;0.8165938864628821;0.05240174672489083
7048.0;0.14225941422594143;0.8075313807531381;0.0502092050209205
7050.0;0.2374429223744292;0.684931506849315;0.0776255707762557
7051.0;0.11578947368421053;0.8473684210526315;0.03684210526315789
7058.0;0.1878453038674033;0.7071823204419889;0.10497237569060773
7059.0;0.18452380952380953;0.7083333333333334;0.10714285714285714
7065.0;0.14444444444444443;0.7722222222222223;0.08333333333333333
7066.0;0.16748768472906403;0.7586206896551724;0.07389162561576355
7067.0;0.1485148514851485;0.801980198019802;0.04950495049504951
7068.0;0.1834319526627219;0.7041420118343196;0.11242603550295859
7070.0;0.14210526315789473;0.7684210526315789;0.08947368421052632
7071.0;0.06153846153846154;0.8769230769230769;0.06153846153846154
7072.0;0.1111111111111111;0.8290598290598291;0.05982905982905983
7074.0;0.084;0.88;0.036
