Total Nacional;Municipios;Subciudad;Indicadores;Sexo;Periodo;Total
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;31.161,36
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;29.991,56
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;29.716,08
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;27.170,78
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;26.317,22
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;25.601,60
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;23.898,74
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;23.898,74
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;23.998,85
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Litoral Oeste: La Paz - Parque Mediterráneo (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;26.359,22
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;24.454,28
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;23.580,88
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;23.975,73
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;21.340,43
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;20.675,32
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;20.085,32
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;18.594,20
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;18.594,20
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;18.830,41
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Litoral Oeste: La Luz - San Andrés (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;38.101,83
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;35.707,07
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;33.862,12
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;34.179,22
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;30.686,48
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;29.969,11
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;28.629,72
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;26.407,26
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;26.407,26
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;26.586,95
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Litoral Oeste: Puerta Blanca - Fincal El Pato (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;37.589,75
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;34.964,08
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;33.733,52
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;33.482,15
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;30.133,17
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;29.017,95
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;28.201,07
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;26.916,85
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;26.916,85
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;26.522,80
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Churriana - Bahía Málaga (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;40.953,25
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;37.750,21
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;36.301,19
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;35.444,04
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;31.981,39
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;30.787,80
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;29.669,10
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;27.398,42
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;27.398,42
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;""
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Teatinos (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;33.268,63
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;30.711,84
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;29.424,40
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;29.342,87
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;26.197,79
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;25.049,79
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;23.823,71
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;22.462,35
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;22.462,35
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;""
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Guadalhorce (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
