Total Nacional;Municipios;Subciudad;Indicadores;Sexo;Periodo;Total
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;28.670,34
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;27.171,07
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;25.982,51
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;26.091,60
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;23.534,55
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;22.699,48
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;22.163,35
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;20.964,52
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;20.964,52
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;21.093,90
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Pedrizas: Ciudad Jardín (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;31.092,12
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;29.254,96
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;28.227,05
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;28.256,67
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;25.967,10
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;25.141,95
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;24.547,31
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;23.232,48
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;23.232,48
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;23.442,31
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Pedrizas: Segalerva - Olletas (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;25.631,56
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;23.906,41
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;22.565,50
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;22.851,04
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;20.238,87
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;19.560,81
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;19.156,22
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;17.094,61
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2014;17.094,61
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2013;17.008,77
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2012;""
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2011;""
Total Nacional;Málaga;Rosaleda:Palma - Palmilla (Málaga);Renta neta media anual de los hogares (Euros);Total;2010;""
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2022;26.837,79
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2021;25.320,57
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2020;24.075,23
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2019;24.206,13
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2018;21.889,10
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2017;21.321,49
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2016;20.795,07
Total Nacional;Málaga;Rosaleda: Trinidad (Málaga);Renta neta media anual de los hogares (Euros);Total;2015;19.351,26
