NUMSECCENS;he_pct_11;kw_pct_11;median_price_inf_11;SES_11;he_pct_21;kw_pct_21;median_price_inf_21;SES_21;RANK_11;RANK_21;SES_ASC;SES_PR_11;SES_PR_21;SES_PR_ASC
1001.0;0.3741258741258741;0.4103019538188277;2361.290758996388;1.00801154382083;0.4130434782608695;0.5767441860465117;3097.2203654999994;3.208245036242855;53.0;15.0;2.2002334924220253;87.76470588235294;89.62962962962962;1.864923747276677
1002.0;0.8321678321678322;0.899441340782123;2361.290758996388;2.0239089886460926;;;;;43.0;;;90.11764705882352;;
1003.0;0.9032258064516128;0.9246861924686192;2361.290758996388;2.1440998596919725;;;;;41.0;;;90.58823529411765;;
1004.0;0.3574468085106383;0.3055555555555556;2361.290758996388;0.9067935730960902;;;;;55.0;;;87.29411764705883;;
2001.0;0.8125;0.3333333333333333;2846.9961375450084;2.911850079594841;;;;;20.0;;;95.52941176470588;;
2002.0;0.6000000000000001;0.6398305084745762;2846.9961375450084;2.8346231823410317;;;;;24.0;;;94.58823529411765;;
2003.0;0.2876884422110552;0.406827880512091;2846.9961375450084;2.216199074834672;0.2824427480916031;0.4545454545454546;3240.393552;3.3246498634523936;40.0;12.0;1.1084507886177217;90.8235294117647;91.85185185185185;1.0283224400871518
2004.0;0.6622390891840607;0.725378787878788;2846.9961375450084;2.986762593125018;0.625;0.752808988764045;3240.393552;4.0345075871314435;15.0;3.0;1.0477449940064254;96.70588235294117;98.51851851851852;1.812636165577345
2005.0;0.8909090909090909;0.9305019305019304;2846.9961375450084;3.4650677065828654;;;;;2.0;;;99.76470588235294;;
2006.0;0.7605263157894737;0.6189376443418013;2846.9961375450084;3.048577474872422;;;;;13.0;;;97.1764705882353;;
2007.0;0.5333333333333333;0.9411764705882352;2846.9961375450084;2.961984069850162;;;;;16.0;;;96.47058823529412;;
2008.0;0.6795580110497237;0.792332268370607;2846.9961375450084;3.0609744996431303;;;;;11.0;;;97.6470588235294;;
2009.0;0.3333333333333333;0.0416666666666666;2846.9961375450084;2.0116534059778624;0.2688679245283019;0.3592233009708738;3240.393552;3.2348301847590597;45.0;14.0;1.2231767787811973;89.64705882352942;90.37037037037037;0.7233115468409466
2010.0;0.9256965944272446;0.935483870967742;2846.9961375450084;3.5184589860673037;;;;;1.0;;;100.0;;
2011.0;0.1363636363636363;0.425287356321839;2846.9961375450084;2.0135958613232643;;;;;44.0;;;89.88235294117646;;
2012.0;0.0615384615384615;0.0497237569060773;2846.9961375450084;1.6292155002296211;;;;;52.0;;;88.0;;
2013.0;0.5244360902255639;0.7535321821036107;2846.9961375450084;2.8106434232657866;0.5432525951557093;0.6989247311827957;3240.393552;3.877883665253785;25.0;7.0;1.0672402419879985;94.35294117647058;95.55555555555556;1.2026143790849773
2014.0;0.6105263157894737;0.8791946308724832;2846.9961375450084;3.0265009914209013;;;;;14.0;;;96.94117647058823;;
2015.0;0.8723404255319149;0.58984375;2846.9961375450084;3.186864145369454;;;;;9.0;;;98.11764705882354;;
2016.0;0.7474999999999999;0.6453900709219859;2846.9961375450084;3.0495054431586945;;;;;12.0;;;97.41176470588235;;
2017.0;0.4105378704720088;0.713;2846.9961375450084;2.617940691302774;;;;;31.0;;;92.94117647058823;;
2018.0;0.4961538461538461;0.5777027027027026;2846.9961375450084;2.6403304068778426;;;;;30.0;;;93.17647058823529;;
2019.0;0.1290322580645161;0.0358565737051792;2846.9961375450084;1.715418284804303;;;;;48.0;;;88.94117647058823;;
2020.0;0.0621761658031088;0.0532544378698224;2846.9961375450084;1.6327351425318253;0.217877094972067;0.3352272727272727;3240.393552;3.144237521561163;51.0;16.0;1.5115023790293378;88.23529411764706;88.88888888888889;0.6535947712418277
2021.0;0.710843373493976;0.0604026845637583;2846.9961375450084;2.564950537354407;;;;;34.0;;;92.23529411764706;;
2022.0;0.7282051282051283;0.9514824797843666;2846.9961375450084;3.2480663729426853;0.5789473684210527;0.7437185929648241;3240.393552;3.961983412218429;7.0;6.0;0.7139170392757439;98.58823529411764;96.29629629629629;-2.2919389978213474
2023.0;0.0585365853658536;0.2885906040268456;2846.9961375450084;1.8013943781779727;;;;;47.0;;;89.17647058823529;;
2024.0;0.0975609756097561;0.0299003322259136;2846.9961375450084;1.6660460412662843;0.1124260355029585;0.2134146341463415;3240.393552;2.9035577874250644;50.0;18.0;1.2375117461587801;88.47058823529412;87.4074074074074;-1.0631808278867112
2025.0;0.3333333333333333;0.3333333333333333;2846.9961375450084;2.2271290241893618;;;;;38.5;;;91.17647058823529;;
2026.0;0.2206477732793522;0.2517857142857143;2846.9961375450084;2.0058580425291197;0.203125;0.3333333333333333;3240.393552;3.121757835241273;46.0;17.0;1.1158997927121534;89.41176470588236;88.14814814814815;-1.2636165577342098
2027.0;0.359925788497217;0.7419354838709677;2846.9961375450084;2.5669936530013993;0.3717105263157895;0.5189003436426117;3240.393552;3.499755697182592;33.0;10.0;0.9327620441811928;92.47058823529412;93.33333333333333;0.8627450980392126
2028.0;0.2937685459940652;0.47265625;2846.9961375450084;2.2735196983132675;0.3294117647058823;0.5029940119760479;3240.393552;3.4275603057856854;36.0;11.0;1.1540406074724179;91.76470588235294;92.5925925925926;0.8278867102396532
2029.0;0.1061946902654867;0.5161290322580645;2846.9961375450084;2.0375963752960207;;;;;42.0;;;90.3529411764706;;
2030.0;0.3413729128014842;0.3491803278688524;2846.9961375450084;2.2503247875371364;0.298932384341637;0.3933823529411764;3240.393552;3.303027592931334;37.0;13.0;1.0527028053941976;91.52941176470588;91.11111111111111;-0.41830065359476976
