NUMSECCENS;Seccion de residencia;he_pct
1001.0;Sección 2906701001;0.41304347826086957
2003.0;Sección 2906702003;0.2824427480916031
2004.0;Sección 2906702004;0.625
2009.0;Sección 2906702009;0.2688679245283019
2013.0;Sección 2906702013;0.5432525951557093
2020.0;Sección 2906702020;0.21787709497206703
2022.0;Sección 2906702022;0.5789473684210527
2024.0;Sección 2906702024;0.11242603550295859
2026.0;Sección 2906702026;0.203125
2027.0;Sección 2906702027;0.3717105263157895
2028.0;Sección 2906702028;0.32941176470588235
2030.0;Sección 2906702030;0.29893238434163705
2041.0;Sección 2906702041;0.619718309859155
2044.0;Sección 2906702044;0.5074074074074074
2047.0;Sección 2906702047;0.6570048309178744
2048.0;Sección 2906702048;0.6653696498054475
2049.0;Sección 2906702049;0.5209790209790209
2050.0;Sección 2906702050;0.6084656084656084
3003.0;Sección 2906703003;0.33707865168539325
4001.0;Sección 2906704001;0.39896373056994816
4003.0;Sección 2906704003;0.22043010752688172
4004.0;Sección 2906704004;0.3045977011494253
4007.0;Sección 2906704007;0.29166666666666663
4009.0;Sección 2906704009;0.35751295336787564
5002.0;Sección 2906705002;0.24782608695652172
6002.0;Sección 2906706002;0.11715481171548117
6007.0;Sección 2906706007;0.042105263157894736
6012.0;Sección 2906706012;0.2849462365591398
6013.0;Sección 2906706013;0.1639344262295082
6019.0;Sección 2906706019;0.16201117318435754
6025.0;Sección 2906706025;0.09852216748768472
6028.0;Sección 2906706028;0.26262626262626265
6031.0;Sección 2906706031;0.12138728323699421
6039.0;Sección 2906706039;0.2831050228310502
6048.0;Sección 2906706048;0.19536423841059603
7005.0;Sección 2906707005;0.22018348623853212
7011.0;Sección 2906707011;0.23684210526315788
7023.0;Sección 2906707023;0.09056603773584905
7027.0;Sección 2906707027;0.38461538461538464
7030.0;Sección 2906707030;0.15028901734104047
7034.0;Sección 2906707034;0.18143459915611815
7043.0;Sección 2906707043;0.16593886462882096
7046.0;Sección 2906707046;0.10902255639097744
7048.0;Sección 2906707048;0.11403508771929824
7050.0;Sección 2906707050;0.08040201005025126
7066.0;Sección 2906707066;0.13095238095238093
7067.0;Sección 2906707067;0.13294797687861273
7071.0;Sección 2906707071;0.21910112359550563
7072.0;Sección 2906707072;0.19245283018867926
7074.0;Sección 2906707074;0.2673992673992674
7076.0;Sección 2906707076;0.1596244131455399
7077.0;Sección 2906707077;0.10752688172043011
7082.0;Sección 2906707082;0.07792207792207792
7089.0;Sección 2906707089;0.10460251046025104
7090.0;Sección 2906707090;0.1070110701107011
7091.0;Sección 2906707091;0.1891891891891892
7092.0;Sección 2906707092;0.10714285714285714
7095.0;Sección 2906707095;0.10714285714285714
8001.0;Sección 2906708001;0.22127659574468084
8003.0;Sección 2906708003;0.13966480446927373
8006.0;Sección 2906708006;0.061855670103092786
8007.0;Sección 2906708007;0.08108108108108109
8010.0;Sección 2906708010;0.10377358490566038
8011.0;Sección 2906708011;0.06934306569343066
8012.0;Sección 2906708012;0.08762886597938144
8013.0;Sección 2906708013;0.06563706563706563
8015.0;Sección 2906708015;0.03529411764705882
