NUMSECCENS;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional
7012.0;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.038461538461538464;0.5769230769230769;0.038461538461538464;0.038461538461538464
7013.0;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.7203389830508474;0.025423728813559324;0.025423728813559324
7014.0;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.7203389830508474;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324;0.025423728813559324
7015.0;0.027777777777777776;0.027777777777777776;0.027777777777777776;0.027777777777777776;0.6944444444444444;0.027777777777777776;0.027777777777777776;0.027777777777777776;0.027777777777777776;0.027777777777777776;0.027777777777777776;0.027777777777777776
7016.0;0.011111111111111112;0.011111111111111112;0.011111111111111112;0.011111111111111112;0.3888888888888889;0.011111111111111112;0.011111111111111112;0.011111111111111112;0.011111111111111112;0.5;0.011111111111111112;0.011111111111111112
7017.0;0.008174386920980926;0.008174386920980926;0.008174386920980926;0.28610354223433243;0.008174386920980926;0.008174386920980926;0.008174386920980926;0.008174386920980926;0.008174386920980926;0.3405994550408719;0.2997275204359673;0.008174386920980926
7018.0;0.009836065573770493;0.009836065573770493;0.009836065573770493;0.009836065573770493;0.39344262295081966;0.009836065573770493;0.009836065573770493;0.009836065573770493;0.009836065573770493;0.009836065573770493;0.5081967213114754;0.009836065573770493
7019.0;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.45;0.015;0.4
7020.0;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333
7021.0;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333
