NUMSECCENS;Seccion de residencia;he_pct
7001.0;Sección 2906707001;0.02526315789473684
7002.0;Sección 2906707002;0.06741573033707865
7003.0;Sección 2906707003;0.1016949152542373
7004.0;Sección 2906707004;0.08108108108108109
7005.0;Sección 2906707005;0.1348122866894198
7006.0;Sección 2906707006;0.3333333333333333
7008.0;Sección 2906707008;0.11650485436893204
7009.0;Sección 2906707009;0.2730496453900709
7010.0;Sección 2906707010;0.06060606060606061
7011.0;Sección 2906707011;0.04040404040404041
7012.0;Sección 2906707012;0.15384615384615385
7013.0;Sección 2906707013;0.1016949152542373
7014.0;Sección 2906707014;0.1016949152542373
7015.0;Sección 2906707015;0.1111111111111111
7016.0;Sección 2906707016;0.044444444444444446
7017.0;Sección 2906707017;0.0326975476839237
7018.0;Sección 2906707018;0.03934426229508197
7019.0;Sección 2906707019;0.06
7020.0;Sección 2906707020;0.3333333333333333
7021.0;Sección 2906707021;0.3333333333333333
7022.0;Sección 2906707022;0.3333333333333333
7023.0;Sección 2906707023;0.026726057906458798
7025.0;Sección 2906707025;0.3333333333333333
7026.0;Sección 2906707026;0.3333333333333333
7027.0;Sección 2906707027;0.46604215456674475
7028.0;Sección 2906707028;0.05217391304347826
7029.0;Sección 2906707029;0.1016949152542373
7030.0;Sección 2906707030;0.012526096033402923
7031.0;Sección 2906707031;0.08391608391608392
7032.0;Sección 2906707032;0.0449438202247191
7033.0;Sección 2906707033;0.5069767441860465
7034.0;Sección 2906707034;0.22796709753231492
7035.0;Sección 2906707035;0.0262582056892779
7037.0;Sección 2906707037;0.7876106194690266
7039.0;Sección 2906707039;0.08108108108108109
7040.0;Sección 2906707040;0.08275862068965517
7041.0;Sección 2906707041;0.047058823529411764
7042.0;Sección 2906707042;0.3333333333333333
7043.0;Sección 2906707043;0.24067164179104478
7044.0;Sección 2906707044;0.3088235294117647
7045.0;Sección 2906707045;0.08695652173913043
7046.0;Sección 2906707046;0.022684310018903593
7047.0;Sección 2906707047;0.3333333333333333
7048.0;Sección 2906707048;0.11413043478260869
7049.0;Sección 2906707049;0.08695652173913043
7050.0;Sección 2906707050;0.09375
7051.0;Sección 2906707051;0.056338028169014086
7052.0;Sección 2906707052;0.3333333333333333
7053.0;Sección 2906707053;0.03870967741935484
7054.0;Sección 2906707054;0.08391608391608392
7055.0;Sección 2906707055;0.05454545454545454
7056.0;Sección 2906707056;0.3333333333333333
7057.0;Sección 2906707057;0.0736196319018405
7058.0;Sección 2906707058;0.3333333333333333
7059.0;Sección 2906707059;0.06936416184971098
7060.0;Sección 2906707060;0.3333333333333333
7061.0;Sección 2906707061;0.06557377049180328
7062.0;Sección 2906707062;0.09022556390977443
7064.0;Sección 2906707064;0.3333333333333333
7065.0;Sección 2906707065;0.1016949152542373
7066.0;Sección 2906707066;0.044444444444444446
7067.0;Sección 2906707067;0.05454545454545454
7068.0;Sección 2906707068;0.06060606060606061
7069.0;Sección 2906707069;0.7551020408163265
7070.0;Sección 2906707070;0.07272727272727272
7071.0;Sección 2906707071;0.24586776859504134
7072.0;Sección 2906707072;0.12660028449502134
7073.0;Sección 2906707073;0.3333333333333333
7074.0;Sección 2906707074;0.3653846153846154
7075.0;Sección 2906707075;0.0975609756097561
7076.0;Sección 2906707076;0.18181818181818182
7077.0;Sección 2906707077;0.021015761821366025
7078.0;Sección 2906707078;0.06666666666666667
7079.0;Sección 2906707079;0.029339853300733496
7080.0;Sección 2906707080;0.3333333333333333
7081.0;Sección 2906707081;0.3333333333333333
7082.0;Sección 2906707082;0.015978695073235686
7083.0;Sección 2906707083;0.1016949152542373
7084.0;Sección 2906707084;0.08108108108108109
7085.0;Sección 2906707085;0.12244897959183673
7086.0;Sección 2906707086;0.20353982300884957
7087.0;Sección 2906707087;0.04152249134948097
7088.0;Sección 2906707088;0.3333333333333333
7089.0;Sección 2906707089;0.0316622691292876
7090.0;Sección 2906707090;0.02536997885835095
7091.0;Sección 2906707091;0.12416107382550334
7092.0;Sección 2906707092;0.09395484340859432
7093.0;Sección 2906707093;0.05660377358490566
7094.0;Sección 2906707094;0.04363636363636364
8001.0;Sección 2906708001;0.2972350230414747
8002.0;Sección 2906708002;0.06666666666666667
8003.0;Sección 2906708003;0.05853658536585366
8004.0;Sección 2906708004;0.05333333333333334
8005.0;Sección 2906708005;0.1016949152542373
8006.0;Sección 2906708006;0.02037351443123939
8007.0;Sección 2906708007;0.026845637583892617
8008.0;Sección 2906708008;0.3333333333333333
8009.0;Sección 2906708009;0.0759493670886076
8010.0;Sección 2906708010;0.01762114537444934
8011.0;Sección 2906708011;0.023255813953488372
8012.0;Sección 2906708012;0.2810810810810811
8013.0;Sección 2906708013;0.02185792349726776
8014.0;Sección 2906708014;0.05853658536585366
8015.0;Sección 2906708015;0.08108108108108109
8016.0;Sección 2906708016;0.059113300492610835
8017.0;Sección 2906708017;0.046153846153846156
8018.0;Sección 2906708018;0.16168478260869565
8019.0;Sección 2906708019;0.11650485436893204
8020.0;Sección 2906708020;0.057692307692307696
8021.0;Sección 2906708021;0.06315789473684211
8022.0;Sección 2906708022;0.1111111111111111
8023.0;Sección 2906708023;0.08695652173913043
8024.0;Sección 2906708024;0.04580152671755725
8025.0;Sección 2906708025;0.21525885558583108
8026.0;Sección 2906708026;0.041379310344827586
8027.0;Sección 2906708027;0.05333333333333334
8028.0;Sección 2906708028;0.037267080745341616
8029.0;Sección 2906708029;0.139937106918239
8030.0;Sección 2906708030;0.25707547169811323
8031.0;Sección 2906708031;0.0210896309314587
8032.0;Sección 2906708032;0.09022556390977443
8033.0;Sección 2906708033;0.3776744186046512
8034.0;Sección 2906708034;0.335016835016835
8035.0;Sección 2906708035;0.10792079207920793
8036.0;Sección 2906708036;0.0380952380952381
8037.0;Sección 2906708037;0.32059447983014866
8039.0;Sección 2906708039;0.0234375
8040.0;Sección 2906708040;0.019933554817275746
8041.0;Sección 2906708041;0.029339853300733496
8042.0;Sección 2906708042;0.22329059829059827
8043.0;Sección 2906708043;0.2974006116207951
8044.0;Sección 2906708044;0.12916666666666668
8045.0;Sección 2906708045;0.045283018867924525
8046.0;Sección 2906708046;0.0759493670886076
8047.0;Sección 2906708047;0.045627376425855515
8048.0;Sección 2906708048;0.075
8049.0;Sección 2906708049;0.0736196319018405
8050.0;Sección 2906708050;0.3333333333333333
8051.0;Sección 2906708051;0.12244897959183673
8052.0;Sección 2906708052;0.2749445676274945
8053.0;Sección 2906708053;0.02414486921529175
8054.0;Sección 2906708054;0.07248322147651007
8055.0;Sección 2906708055;0.024439918533604887
8056.0;Sección 2906708056;0.23787167449139282
8057.0;Sección 2906708057;0.308300395256917
8058.0;Sección 2906708058;0.44703143189755534
8059.0;Sección 2906708059;0.27163781624500666
8060.0;Sección 2906708060;0.03409090909090909
8061.0;Sección 2906708061;0.20243902439024392
8062.0;Sección 2906708062;0.07058823529411765
8063.0;Sección 2906708063;0.2943221320973349
8064.0;Sección 2906708064;0.04316546762589928
8065.0;Sección 2906708065;0.15668481548699334
9001.0;Sección 2906709001;0.3879093198992443
9002.0;Sección 2906709002;0.7876106194690266
9003.0;Sección 2906709003;0.2639593908629442
9004.0;Sección 2906709004;0.19964973730297725
9005.0;Sección 2906709005;0.05504587155963303
9006.0;Sección 2906709006;0.4971428571428571
9007.0;Sección 2906709007;0.6340909090909091
9008.0;Sección 2906709008;0.1016949152542373
9009.0;Sección 2906709009;0.1016949152542373
9010.0;Sección 2906709010;0.2655367231638418
9011.0;Sección 2906709011;0.15369649805447472
9012.0;Sección 2906709012;0.041379310344827586
9013.0;Sección 2906709013;0.046153846153846156
9014.0;Sección 2906709014;0.05
9015.0;Sección 2906709015;0.3333333333333333
9016.0;Sección 2906709016;0.3333333333333333
9017.0;Sección 2906709017;0.1111111111111111
9018.0;Sección 2906709018;0.09375
9019.0;Sección 2906709019;0.046153846153846156
9020.0;Sección 2906709020;0.0975609756097561
9021.0;Sección 2906709021;0.3333333333333333
9022.0;Sección 2906709022;0.06741573033707865
9023.0;Sección 2906709023;0.0736196319018405
9024.0;Sección 2906709024;0.3333333333333333
9025.0;Sección 2906709025;0.3333333333333333
9026.0;Sección 2906709026;0.0736196319018405
9027.0;Sección 2906709027;0.3333333333333333
9028.0;Sección 2906709028;0.30324909747292417
9029.0;Sección 2906709029;0.12903225806451613
9030.0;Sección 2906709030;0.3333333333333333
9031.0;Sección 2906709031;0.3333333333333333
9032.0;Sección 2906709032;0.12244897959183673
9033.0;Sección 2906709033;0.42758620689655175
9034.0;Sección 2906709034;0.06936416184971098
9036.0;Sección 2906709036;0.034782608695652174
9037.0;Sección 2906709037;0.06741573033707865
9038.0;Sección 2906709038;0.3869565217391304
9039.0;Sección 2906709039;0.852760736196319
9040.0;Sección 2906709040;0.05581395348837209
9041.0;Sección 2906709041;0.3333333333333333
9042.0;Sección 2906709042;0.13636363636363635
9043.0;Sección 2906709043;0.3333333333333333
9044.0;Sección 2906709044;0.08108108108108109
9045.0;Sección 2906709045;0.5826086956521739
9046.0;Sección 2906709046;0.6260869565217392
9047.0;Sección 2906709047;0.3333333333333333
9048.0;Sección 2906709048;0.3333333333333333
9049.0;Sección 2906709049;0.10619469026548672
9050.0;Sección 2906709050;0.045283018867924525
9051.0;Sección 2906709051;0.05853658536585366
9052.0;Sección 2906709052;0.02054794520547945
9053.0;Sección 2906709053;0.7876106194690266
9055.0;Sección 2906709055;0.0975609756097561
9056.0;Sección 2906709056;0.34415584415584416
9057.0;Sección 2906709057;0.3333333333333333
9058.0;Sección 2906709058;0.08695652173913043
9059.0;Sección 2906709059;0.05063291139240506
9062.0;Sección 2906709062;0.3333333333333333
9063.0;Sección 2906709063;0.3333333333333333
9064.0;Sección 2906709064;0.4230769230769231
9065.0;Sección 2906709065;0.1111111111111111
9067.0;Sección 2906709067;0.4117647058823529
9068.0;Sección 2906709068;0.8723404255319149
9070.0;Sección 2906709070;0.40454545454545454
9071.0;Sección 2906709071;0.3333333333333333
9075.0;Sección 2906709075;0.3333333333333333
9076.0;Sección 2906709076;0.05714285714285714
9077.0;Sección 2906709077;0.12244897959183673
9078.0;Sección 2906709078;0.8048780487804879
9079.0;Sección 2906709079;0.06486486486486487
9080.0;Sección 2906709080;0.05454545454545454
9082.0;Sección 2906709082;0.044444444444444446
9083.0;Sección 2906709083;0.24008810572687223
10001.0;Sección 2906710001;0.18705882352941178
10002.0;Sección 2906710002;0.23423423423423423
10003.0;Sección 2906710003;0.36312323612417685
10004.0;Sección 2906710004;0.02926829268292683
10005.0;Sección 2906710005;0.08695652173913043
10006.0;Sección 2906710006;0.3333333333333333
10007.0;Sección 2906710007;0.3333333333333333
10008.0;Sección 2906710008;0.1111111111111111
10009.0;Sección 2906710009;0.21621621621621623
10010.0;Sección 2906710010;0.042105263157894736
10011.0;Sección 2906710011;0.0975609756097561
10012.0;Sección 2906710012;0.3333333333333333
10013.0;Sección 2906710013;0.04285714285714286
10014.0;Sección 2906710014;0.0326975476839237
10015.0;Sección 2906710015;0.08108108108108109
10016.0;Sección 2906710016;0.15439093484419264
10017.0;Sección 2906710017;0.047058823529411764
10018.0;Sección 2906710018;0.04240282685512368
10019.0;Sección 2906710019;0.1847246891651865
10020.0;Sección 2906710020;0.04395604395604396
10021.0;Sección 2906710021;0.04285714285714286
10022.0;Sección 2906710022;0.030379746835443037
10023.0;Sección 2906710023;0.12521150592216582
10024.0;Sección 2906710024;0.3333333333333333
10026.0;Sección 2906710026;0.024193548387096774
10027.0;Sección 2906710027;0.3333333333333333
10028.0;Sección 2906710028;0.06217616580310881
10029.0;Sección 2906710029;0.12903225806451613
10030.0;Sección 2906710030;0.11650485436893204
10031.0;Sección 2906710031;0.045283018867924525
10032.0;Sección 2906710032;0.1111111111111111
10033.0;Sección 2906710033;0.04363636363636364
10034.0;Sección 2906710034;0.014150943396226415
10035.0;Sección 2906710035;0.02912621359223301
10036.0;Sección 2906710036;0.3333333333333333
10037.0;Sección 2906710037;0.0975609756097561
10038.0;Sección 2906710038;0.06557377049180328
10039.0;Sección 2906710039;0.12903225806451613
10040.0;Sección 2906710040;0.04285714285714286
10041.0;Sección 2906710041;0.04897959183673469
10042.0;Sección 2906710042;0.3333333333333333
10043.0;Sección 2906710043;0.04580152671755725
10044.0;Sección 2906710044;0.09375
10045.0;Sección 2906710045;0.09375
10046.0;Sección 2906710046;0.07058823529411765
10047.0;Sección 2906710047;0.1111111111111111
