Municipio de residencia;Seccion de residencia;Analfabetos;Sin estudios;Fue a la escuela 5 años o más pero no llegó al último curso de ESO, EGB o Bachiller Elemental;Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios;Bachiller, BUP, Bachiller Superior, COU, PREU;FP grado medio, FP I, Oficialia Industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas;FP grado superior, FPII, Maestria industrial o equivalente;Diplomatura universitaria, Aquitectura Técnica, Ingeniería Técnica o equivalente;Grado Universitario o equivalente;Licenciatura, Arquitectura, Ingeniería o equivalente;Máster oficial univeritario (a partir de 2006) , Especialidades Médicas o análogas;Doctorado
29067 Málaga;Sección 2906704003;*;*;*;*;*;*;*;*;*;90;*;*
29067 Málaga;Sección 2906704004;*;*;*;120;90;60;*;*;*;160;*;*
29067 Málaga;Sección 2906704005;*;*;95;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704006;*;*;*;65;105;*;*;*;*;75;*;*
29067 Málaga;Sección 2906704007;*;*;*;*;185;*;*;*;*;90;*;*
29067 Málaga;Sección 2906704008;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704009;*;*;*;135;*;*;*;160;*;105;*;*
29067 Málaga;Sección 2906704010;*;*;*;100;110;*;55;*;*;120;*;*
29067 Málaga;Sección 2906704011;*;*;*;*;*;*;*;*;*;205;*;*
29067 Málaga;Sección 2906704012;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906704013;*;*;*;120;80;*;*;*;*;45;*;*
29067 Málaga;Sección 2906704014;*;*;*;*;130;*;*;45;*;*;*;*
29067 Málaga;Sección 2906704015;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705001;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906705002;*;*;*;335;*;*;*;140;*;100;*;*
29067 Málaga;Sección 2906705003;*;*;*;*;*;*;*;*;*;80;*;*
29067 Málaga;Sección 2906706001;*;*;*;255;75;105;195;120;*;315;*;*
29067 Málaga;Sección 2906706002;*;*;170;135;105;*;80;*;*;90;*;*
29067 Málaga;Sección 2906706003;*;*;*;125;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706004;*;*;*;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706005;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706006;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706007;*;*;120;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706008;*;*;85;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706009;*;*;*;*;*;*;*;55;*;*;*;*
29067 Málaga;Sección 2906706010;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706011;*;*;*;150;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706012;*;*;*;*;60;*;*;90;*;80;*;*
29067 Málaga;Sección 2906706013;*;*;*;125;90;*;*;*;*;155;*;*
29067 Málaga;Sección 2906706015;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706016;*;*;*;*;75;*;*;50;*;*;*;*
29067 Málaga;Sección 2906706017;*;*;*;100;*;*;85;210;*;*;*;*
29067 Málaga;Sección 2906706018;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706019;*;*;*;200;130;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706020;*;*;*;75;*;*;*;*;*;105;*;*
29067 Málaga;Sección 2906706021;*;*;*;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706022;*;*;*;85;*;*;*;*;*;110;*;*
29067 Málaga;Sección 2906706023;*;*;*;175;135;*;50;*;*;*;*;*
29067 Málaga;Sección 2906706024;*;*;*;220;130;*;130;215;*;185;*;*
29067 Málaga;Sección 2906706025;*;*;125;195;55;*;75;*;*;*;*;*
29067 Málaga;Sección 2906706026;*;*;*;160;55;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706027;*;*;*;50;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706028;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706029;*;*;105;235;210;145;135;165;*;*;*;*
29067 Málaga;Sección 2906706030;*;*;*;*;*;*;*;*;*;90;*;*
29067 Málaga;Sección 2906706031;*;*;*;150;*;*;*;*;*;55;*;*
29067 Málaga;Sección 2906706032;*;*;*;160;80;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706033;*;*;*;85;*;85;*;*;*;*;*;*
29067 Málaga;Sección 2906706034;*;*;*;145;185;*;*;*;*;45;*;*
29067 Málaga;Sección 2906706035;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706036;*;*;*;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706037;*;*;*;90;65;70;*;*;*;*;*;*
29067 Málaga;Sección 2906706038;*;*;*;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706039;*;*;*;80;185;105;*;*;*;240;*;*
29067 Málaga;Sección 2906706040;*;*;*;90;*;*;*;65;*;*;*;*
29067 Málaga;Sección 2906706041;*;*;85;145;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706042;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706043;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706044;*;*;*;245;*;50;*;*;*;*;*;*
29067 Málaga;Sección 2906706045;*;*;130;200;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906706046;*;*;*;155;80;65;*;60;*;*;*;*
29067 Málaga;Sección 2906706047;*;*;70;115;*;*;70;*;*;*;*;*
29067 Málaga;Sección 2906707001;*;*;100;*;345;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707002;*;*;*;145;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707003;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707004;*;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707005;*;*;*;205;95;*;120;75;*;70;*;*
29067 Málaga;Sección 2906707006;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707008;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707009;*;*;*;160;*;85;*;150;*;145;*;*
29067 Málaga;Sección 2906707010;*;*;*;165;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707011;*;*;90;85;*;*;*;95;*;*;*;*
29067 Málaga;Sección 2906707012;*;*;*;45;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707013;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906707014;*;*;*;*;*;*;*;85;*;*;*;*
29067 Málaga;Sección 2906707015;*;*;*;*;*;*;*;75;*;*;*;*
