Municipio de residencia;Seccion de residencia;Analfabetos;Sin estudios;Fue a la escuela 5 años o más pero no llegó al último curso de ESO, EGB o Bachiller Elemental;Llegó al último curso de ESO, EGB o Bachiller Elemental o tiene el Certificado de Escolaridad o de Estudios Primarios;Bachiller, BUP, Bachiller Superior, COU, PREU;FP grado medio, FP I, Oficialia Industrial o equivalente, Grado Medio de Música y Danza, Certificados de Escuelas Oficiales de Idiomas;FP grado superior, FPII, Maestria industrial o equivalente;Diplomatura universitaria, Aquitectura Técnica, Ingeniería Técnica o equivalente;Grado Universitario o equivalente;Licenciatura, Arquitectura, Ingeniería o equivalente;Máster oficial univeritario (a partir de 2006) , Especialidades Médicas o análogas;Doctorado
29067 Málaga;Sección 2906709033;*;*;*;145;*;*;*;*;*;115;*;*
29067 Málaga;Sección 2906709034;*;*;*;140;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709036;*;*;55;260;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709037;*;*;*;*;145;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709038;*;*;*;*;120;*;*;*;*;80;*;*
29067 Málaga;Sección 2906709039;*;*;*;*;*;*;*;*;*;130;*;*
29067 Málaga;Sección 2906709040;*;*;*;*;115;*;*;70;*;*;*;*
29067 Málaga;Sección 2906709041;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709042;*;*;*;55;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709043;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709044;*;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709045;*;*;*;75;*;*;*;*;*;125;*;*
29067 Málaga;Sección 2906709046;*;*;*;*;65;*;*;*;*;135;*;*
29067 Málaga;Sección 2906709047;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709048;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709049;*;*;*;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709050;*;*;170;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709051;*;*;*;115;*;*;*;60;*;*;*;*
29067 Málaga;Sección 2906709052;*;*;*;120;90;*;55;295;*;*;*;*
29067 Málaga;Sección 2906709053;*;*;*;*;*;*;*;*;*;80;*;*
29067 Málaga;Sección 2906709055;*;*;*;*;*;*;*;90;*;*;*;*
29067 Málaga;Sección 2906709056;*;*;*;220;65;*;*;*;*;150;*;*
29067 Málaga;Sección 2906709057;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709058;*;*;*;*;*;105;*;*;*;*;*;*
29067 Málaga;Sección 2906709059;*;*;*;70;80;*;60;*;*;*;*;*
29067 Málaga;Sección 2906709062;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709063;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709064;*;*;*;110;100;*;*;60;*;200;*;*
29067 Málaga;Sección 2906709065;*;*;*;*;75;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709067;*;*;*;65;80;*;*;60;*;145;*;*
29067 Málaga;Sección 2906709068;*;*;*;*;*;*;*;*;*;155;*;*
29067 Málaga;Sección 2906709070;*;*;*;*;110;*;*;*;*;80;*;*
29067 Málaga;Sección 2906709071;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709075;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709076;*;*;*;110;*;*;*;70;*;*;*;*
29067 Málaga;Sección 2906709077;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709078;*;*;*;*;*;*;*;*;*;90;*;*
29067 Málaga;Sección 2906709079;*;*;*;60;*;*;*;95;*;*;*;*
29067 Málaga;Sección 2906709080;*;*;*;*;70;*;*;120;*;*;*;*
29067 Málaga;Sección 2906709082;*;*;*;110;130;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709083;*;*;*;165;*;*;65;100;*;100;*;*
29067 Málaga;Sección 2906710001;*;*;100;250;70;80;100;85;*;150;*;*
29067 Málaga;Sección 2906710002;*;*;*;140;95;*;90;*;*;95;*;*
29067 Málaga;Sección 2906710003;*;*;*;115;175;*;120;255;*;300;80;*
29067 Málaga;Sección 2906710004;*;*;110;270;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710005;*;*;*;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710006;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710007;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710008;*;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710009;*;*;*;45;55;65;*;55;*;55;*;*
29067 Málaga;Sección 2906710010;*;*;95;160;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710011;*;*;*;90;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710012;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710013;*;*;150;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710014;*;*;95;180;*;*;65;*;*;*;*;*
29067 Málaga;Sección 2906710015;*;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710016;*;*;*;135;175;110;165;*;*;100;*;*
29067 Málaga;Sección 2906710017;*;*;*;135;90;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710018;*;*;*;250;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710019;*;*;90;95;100;*;60;105;*;95;*;*
29067 Málaga;Sección 2906710020;*;*;*;240;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710021;*;*;*;175;*;*;75;*;*;*;*;*
29067 Málaga;Sección 2906710022;*;*;*;170;195;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710023;*;*;*;120;240;75;*;70;*;65;*;*
29067 Málaga;Sección 2906710024;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710026;*;*;*;165;100;85;50;75;*;*;*;*
29067 Málaga;Sección 2906710027;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710028;*;*;*;160;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710029;*;*;*;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710030;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710031;*;*;85;150;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710032;*;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710033;*;*;*;155;90;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710034;*;*;60;270;175;65;55;205;*;*;*;*
29067 Málaga;Sección 2906710035;*;*;*;200;*;95;90;*;*;*;*;*
29067 Málaga;Sección 2906710036;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710037;*;*;*;90;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710038;*;*;*;150;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710039;*;*;*;*;*;*;60;*;*;*;*;*
29067 Málaga;Sección 2906710040;*;*;*;155;95;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710041;*;*;70;145;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710042;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710043;*;*;65;110;*;*;60;*;*;*;*;*
29067 Málaga;Sección 2906710044;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710045;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710046;*;*;*;65;*;*;*;75;*;*;*;*
29067 Málaga;Sección 2906710047;*;*;*;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710048;*;*;*;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710049;*;*;*;230;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710050;*;*;*;130;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710051;*;*;*;*;70;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710052;*;*;*;125;80;120;85;120;*;*;*;*
29067 Málaga;Sección 2906710053;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710054;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710055;*;*;*;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710056;*;*;*;*;165;*;*;*;*;200;*;*
29067 Málaga;Sección 2906710057;*;*;*;100;*;*;*;170;*;90;*;*
29067 Málaga;Sección 2906710058;*;*;*;185;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710059;*;*;*;45;*;70;*;*;*;*;*;*
29067 Málaga;Sección 2906710060;*;*;65;160;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710061;*;*;*;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710062;*;*;*;85;75;*;65;50;*;60;*;*
29067 Málaga;Sección 2906710063;*;*;*;185;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710064;*;*;*;135;115;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710065;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710066;*;*;*;280;*;*;140;55;*;220;*;*
29067 Málaga;Sección 2906710067;*;*;*;135;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710068;*;*;65;145;110;75;140;85;*;*;*;*
29067 Málaga;Sección 2906710069;*;*;*;*;135;*;*;185;*;285;*;*
29067 Málaga;Sección 2906710070;*;*;*;215;100;90;190;145;*;215;*;*
29067 Málaga;Sección 2906710071;*;*;*;65;65;*;120;105;*;80;*;*
29067 Málaga;Sección 2906710072;*;*;*;140;130;70;*;145;*;235;*;*
29067 Málaga;Sección 2906711001;*;*;*;120;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711002;*;*;*;185;195;95;90;100;*;80;*;*
29067 Málaga;Sección 2906711003;*;*;60;210;225;115;*;165;*;135;*;*
29067 Málaga;Sección 2906711004;*;*;*;85;115;*;*;65;*;120;*;*
29067 Málaga;Sección 2906711005;*;*;*;120;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711006;*;*;*;520;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711007;*;*;*;235;85;95;85;245;*;80;*;*
29067 Málaga;Sección 2906711008;*;*;155;275;370;*;*;130;*;130;*;*
29067 Málaga;Sección 2906711009;*;*;*;105;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711010;*;*;*;165;80;*;*;45;*;65;*;*
