Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
Total;Sección 2906707095;501;0;18;27;42;54;126;135;63;24;6;0;0;0;0;0;0
Total;Sección 2906708001;702;0;24;63;96;87;108;90;93;90;48;0;0;0;0;0;0
Total;Sección 2906708003;534;3;21;48;48;57;48;90;105;69;42;6;0;0;0;0;0
Total;Sección 2906708006;870;3;39;48;96;111;144;195;108;81;42;0;0;0;0;0;0
Total;Sección 2906708007;669;6;48;54;54;75;84;87;132;93;33;3;3;0;0;0;0
Total;Sección 2906708010;954;3;54;81;102;123;159;177;132;81;45;3;0;0;0;0;0
Total;Sección 2906708011;825;3;63;93;90;108;96;114;111;90;54;0;0;0;0;0;0
Total;Sección 2906708012;1170;9;72;108;153;186;201;159;129;99;39;6;0;0;0;0;0
Total;Sección 2906708013;774;6;39;84;81;87;81;135;114;84;54;6;6;0;0;0;0
Total;Sección 2906708015;513;6;45;57;57;63;78;75;63;51;18;3;0;0;0;0;0
Total;Sección 2906708017;618;6;42;54;78;84;93;96;78;51;24;3;3;0;0;0;3
Total;Sección 2906708018;630;6;27;36;60;69;117;129;90;69;30;0;0;0;0;0;0
Total;Sección 2906708028;984;6;42;75;135;174;189;141;102;81;30;3;0;0;0;0;0
Total;Sección 2906708029;876;6;33;87;84;90;117;195;141;78;24;9;3;0;0;0;0
Total;Sección 2906708030;1266;3;33;84;141;246;228;183;120;129;69;24;0;0;3;0;0
Total;Sección 2906708031;654;3;24;63;87;81;90;93;87;75;42;6;0;0;0;0;0
Total;Sección 2906708033;1056;0;18;48;90;198;216;195;144;108;30;6;0;3;0;0;0
Total;Sección 2906708035;1053;3;42;63;60;72;129;270;246;126;39;3;0;0;0;0;0
Total;Sección 2906708036;537;3;36;66;51;93;87;72;63;45;21;0;0;0;0;0;0
Total;Sección 2906708039;732;3;39;72;93;126;105;75;60;72;81;6;0;0;0;0;0
Total;Sección 2906708040;1023;3;21;69;90;177;291;183;99;60;21;3;0;0;0;0;0
Total;Sección 2906708041;582;3;27;54;69;63;72;51;99;99;42;3;3;0;0;0;0
Total;Sección 2906708042;909;6;21;63;69;141;210;144;105;96;48;3;0;0;0;0;0
Total;Sección 2906708043;1209;3;45;90;69;111;261;252;162;159;51;6;3;0;0;0;0
Total;Sección 2906708044;1119;3;30;93;132;156;162;183;147;120;75;9;3;0;0;0;0
Total;Sección 2906708052;531;3;24;63;51;63;54;48;75;93;48;6;3;0;0;0;0
Total;Sección 2906708054;954;3;45;69;51;60;96;249;216;120;39;0;0;0;0;0;0
Total;Sección 2906708055;657;0;21;48;72;72;120;102;111;72;36;3;3;0;0;0;0
Total;Sección 2906708056;732;3;18;30;57;78;105;237;138;45;15;3;0;0;0;0;0
Total;Sección 2906708057;1221;6;30;75;69;114;171;336;240;132;48;6;0;0;0;0;0
Total;Sección 2906708058;972;3;27;48;63;126;207;264;126;66;36;6;3;0;0;0;0
Total;Sección 2906708059;993;3;24;39;51;120;219;276;165;63;33;3;0;0;0;0;0
