NUMSECCENS;15-19;20-34;35-64;65+
1001.0;0.0069124423963133645;0.3824884792626728;0.5622119815668203;0.04838709677419355
1002.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
1003.0;0.022556390977443608;0.06766917293233082;0.7518796992481203;0.15789473684210525
1004.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2001.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2002.0;0.020689655172413793;0.06206896551724138;0.7724137931034483;0.14482758620689656
2003.0;0.004807692307692308;0.014423076923076924;0.9471153846153846;0.03365384615384615
2004.0;0.00530035335689046;0.015901060070671377;0.941696113074205;0.037102473498233215
2005.0;0.03409090909090909;0.10227272727272728;0.625;0.23863636363636365
2006.0;0.006578947368421052;0.24342105263157895;0.7039473684210527;0.046052631578947366
2007.0;0.0234375;0.0703125;0.7421875;0.1640625
2008.0;0.016216216216216217;0.04864864864864865;0.8216216216216217;0.11351351351351352
2009.0;0.02027027027027027;0.060810810810810814;0.777027027027027;0.14189189189189189
2010.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2011.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2012.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2013.0;0.00546448087431694;0.01639344262295082;0.9398907103825137;0.03825136612021858
2014.0;0.030612244897959183;0.09183673469387756;0.6632653061224489;0.21428571428571427
2015.0;0.025423728813559324;0.07627118644067797;0.7203389830508474;0.17796610169491525
2016.0;0.017857142857142856;0.05357142857142857;0.8035714285714286;0.125
2017.0;0.002926829268292683;0.11317073170731708;0.8634146341463415;0.02048780487804878
2018.0;0.010452961672473868;0.0313588850174216;0.8850174216027874;0.07317073170731707
2019.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2020.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2021.0;0.02912621359223301;0.08737864077669903;0.6796116504854369;0.20388349514563106
2022.0;0.00847457627118644;0.025423728813559324;0.9067796610169492;0.059322033898305086
2023.0;0.009316770186335404;0.027950310559006212;0.8975155279503105;0.06521739130434782
2024.0;0.010714285714285714;0.03214285714285714;0.8821428571428571;0.075
2025.0;0.021739130434782608;0.06521739130434782;0.7608695652173914;0.15217391304347827
2026.0;0.00473186119873817;0.014195583596214511;0.9479495268138801;0.033123028391167195
2027.0;0.006726457399103139;0.2040358744394619;0.742152466367713;0.04708520179372197
2028.0;0.01639344262295082;0.7704918032786885;0.09836065573770492;0.11475409836065574
2029.0;0.014285714285714285;0.04285714285714286;0.8428571428571429;0.1
2030.0;0.00398406374501992;0.3559096945551129;0.6122177954847278;0.027888446215139442
2031.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2032.0;0.014285714285714285;0.38571428571428573;0.5;0.1
2033.0;0.004437869822485207;0.1346153846153846;0.8298816568047337;0.03106508875739645
2034.0;0.02654867256637168;0.07964601769911504;0.7079646017699115;0.18584070796460178
2035.0;0.02097902097902098;0.06293706293706294;0.7692307692307693;0.14685314685314685
2036.0;0.027777777777777776;0.08333333333333333;0.6944444444444444;0.19444444444444445
2037.0;0.007751937984496124;0.023255813953488372;0.9147286821705426;0.05426356589147287
2038.0;0.011764705882352941;0.03529411764705882;0.8705882352941177;0.08235294117647059
2039.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2040.0;0.0196078431372549;0.058823529411764705;0.7843137254901961;0.13725490196078433
2041.0;0.0046439628482972135;0.17956656346749225;0.7832817337461301;0.032507739938080496
2042.0;0.013636363636363636;0.04090909090909091;0.85;0.09545454545454546
2043.0;0.007853403141361256;0.02356020942408377;0.9136125654450262;0.0549738219895288
2044.0;0.004552352048558422;0.013657056145675266;0.9499241274658573;0.03186646433990895
2045.0;0.024390243902439025;0.07317073170731707;0.7317073170731707;0.17073170731707318
2046.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
2047.0;0.006607929515418502;0.019823788546255508;0.9273127753303965;0.046255506607929514
2048.0;0.004418262150220913;0.013254786450662739;0.9513991163475699;0.030927835051546393
2049.0;0.004032258064516129;0.012096774193548387;0.9556451612903226;0.028225806451612902
2050.0;0.0027881040892193307;0.14033457249070633;0.837360594795539;0.019516728624535316
3001.0;0.011111111111111112;0.4666666666666667;0.4444444444444444;0.07777777777777778
3002.0;0.00821917808219178;0.024657534246575342;0.9095890410958904;0.057534246575342465
3003.0;0.012;0.384;0.52;0.084
4001.0;0.014084507042253521;0.04225352112676056;0.8450704225352113;0.09859154929577464
4002.0;0.006396588486140725;0.019189765458422176;0.929637526652452;0.04477611940298507
4003.0;0.016853932584269662;0.05056179775280899;0.8146067415730337;0.11797752808988764
4004.0;0.006993006993006993;0.4149184149184149;0.5291375291375291;0.04895104895104895
4005.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
4006.0;0.014492753623188406;0.27053140096618356;0.6135265700483091;0.10144927536231885
4007.0;0.00702576112412178;0.02107728337236534;0.9227166276346604;0.04918032786885246
4008.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
4009.0;0.009836065573770493;0.029508196721311476;0.8918032786885246;0.06885245901639345
4010.0;0.010830324909747292;0.032490974729241874;0.8808664259927798;0.07581227436823104
4011.0;0.0189873417721519;0.056962025316455694;0.7911392405063291;0.13291139240506328
4012.0;0.058823529411764705;0.17647058823529413;0.35294117647058826;0.4117647058823529
