NUMSECCENS;Hogar con un hombre solo de 65 años o más;Hogar con un hombre solo menor de 65 años;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar con una mujer sola de 65 años o más;Hogar con una mujer sola menor de 65 años;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Hogar formado por pareja sin hijos;Otro tipo de hogar
1001.0;0.057432432432432436;0.1858108108108108;0.04391891891891892;0.037162162162162164;0.11824324324324324;0.14864864864864866;0.07432432432432433;0.02364864864864865;0.037162162162162164;0.14864864864864866;0.125
1003.0;0.0374331550802139;0.0855614973262032;0.0427807486631016;0.06417112299465241;0.1711229946524064;0.11229946524064172;0.11229946524064172;0.0427807486631016;0.0748663101604278;0.12299465240641712;0.13368983957219252
1004.0;0.06763285024154589;0.1642512077294686;0.057971014492753624;0.03864734299516908;0.12560386473429952;0.12560386473429952;0.10144927536231885;0.033816425120772944;0.03864734299516908;0.13526570048309178;0.1111111111111111
2002.0;0.041176470588235294;0.058823529411764705;0.047058823529411764;0.058823529411764705;0.15294117647058825;0.07647058823529412;0.15294117647058825;0.08823529411764706;0.08235294117647059;0.17647058823529413;0.06470588235294118
2003.0;0.009852216748768473;0.054187192118226604;0.09359605911330049;0.04926108374384237;0.024630541871921183;0.04433497536945813;0.3054187192118227;0.10837438423645321;0.09359605911330049;0.14285714285714285;0.07389162561576355
2004.0;0.029585798816568046;0.05325443786982249;0.07692307692307693;0.05917159763313609;0.09467455621301775;0.0650887573964497;0.2485207100591716;0.07100591715976332;0.09467455621301775;0.15384615384615385;0.05325443786982249
2006.0;0.06598984771573604;0.1218274111675127;0.04060913705583756;0.06091370558375635;0.18781725888324874;0.09644670050761421;0.09137055837563451;0.06091370558375635;0.050761421319796954;0.14213197969543148;0.08121827411167512
2009.0;0.023809523809523808;0.06190476190476191;0.0761904761904762;0.06190476190476191;0.047619047619047616;0.047619047619047616;0.2761904761904762;0.08571428571428572;0.10952380952380952;0.12857142857142856;0.08095238095238096
2012.0;0.022222222222222223;0.08333333333333333;0.08888888888888889;0.07777777777777778;0.06666666666666667;0.06666666666666667;0.20555555555555555;0.06666666666666667;0.12777777777777777;0.10555555555555556;0.08888888888888889
2013.0;0.01702127659574468;0.06808510638297872;0.0851063829787234;0.059574468085106386;0.05531914893617021;0.05106382978723404;0.25957446808510637;0.08936170212765958;0.1148936170212766;0.1276595744680851;0.07234042553191489
2020.0;0.02336448598130841;0.07009345794392523;0.07009345794392523;0.08878504672897196;0.11214953271028037;0.06542056074766354;0.14953271028037382;0.06542056074766354;0.10747663551401869;0.13551401869158877;0.11214953271028037
2023.0;0.03488372093023256;0.05813953488372093;0.0872093023255814;0.046511627906976744;0.0872093023255814;0.06976744186046512;0.19186046511627908;0.08139534883720931;0.11046511627906977;0.1511627906976744;0.08139534883720931
2024.0;0.02702702702702703;0.06486486486486487;0.07567567567567568;0.08108108108108109;0.08108108108108109;0.04864864864864865;0.2;0.0972972972972973;0.11891891891891893;0.12432432432432433;0.08108108108108109
2026.0;0.028112449799196786;0.0642570281124498;0.08835341365461848;0.060240963855421686;0.060240963855421686;0.04819277108433735;0.25301204819277107;0.09236947791164658;0.08433734939759036;0.13654618473895583;0.08433734939759036
2027.0;0.025;0.08214285714285714;0.08214285714285714;0.04285714285714286;0.06785714285714285;0.04642857142857143;0.2714285714285714;0.075;0.08214285714285714;0.15714285714285714;0.06785714285714285
2028.0;0.030456852791878174;0.050761421319796954;0.07106598984771574;0.07106598984771574;0.14213197969543148;0.06598984771573604;0.14720812182741116;0.08629441624365482;0.1065989847715736;0.14213197969543148;0.08629441624365482
2030.0;0.02643171806167401;0.06607929515418502;0.07488986784140969;0.04405286343612335;0.02643171806167401;0.05286343612334802;0.29515418502202645;0.07048458149779736;0.14977973568281938;0.10572687224669604;0.0881057268722467
2032.0;0.024096385542168676;0.04216867469879518;0.05421686746987952;0.0963855421686747;0.13253012048192772;0.05421686746987952;0.18674698795180722;0.04819277108433735;0.12048192771084337;0.1686746987951807;0.07228915662650602
2041.0;0.01507537688442211;0.02512562814070352;0.09045226130653267;0.06030150753768844;0.04522613065326633;0.035175879396984924;0.35678391959798994;0.11557788944723618;0.11557788944723618;0.09547738693467336;0.04522613065326633
2044.0;0.03365384615384615;0.04326923076923077;0.1346153846153846;0.04807692307692308;0.038461538461538464;0.0673076923076923;0.34615384615384615;0.07692307692307693;0.07211538461538461;0.09615384615384616;0.04326923076923077
2048.0;0.03076923076923077;0.03076923076923077;0.07179487179487179;0.07179487179487179;0.041025641025641026;0.02564102564102564;0.3333333333333333;0.1282051282051282;0.09230769230769231;0.14871794871794872;0.02564102564102564
2049.0;0.01818181818181818;0.07272727272727272;0.11818181818181818;0.05;0.02727272727272727;0.08181818181818182;0.38181818181818183;0.05909090909090909;0.06363636363636363;0.1;0.02727272727272727
2050.0;0.012244897959183673;0.044897959183673466;0.11428571428571428;0.036734693877551024;0.02857142857142857;0.0326530612244898;0.44081632653061226;0.08163265306122448;0.08571428571428572;0.08571428571428572;0.036734693877551024
3003.0;0.03111111111111111;0.17777777777777778;0.06666666666666667;0.03111111111111111;0.06222222222222222;0.18666666666666668;0.08444444444444445;0.013333333333333334;0.044444444444444446;0.1511111111111111;0.1511111111111111
