NUMERO;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional
1.0;0.0;0.06442577030812324;0.08123249299719888;0.0016806722689075631;0.20448179271708683;0.0016806722689075631;0.0016806722689075631;0.3389355742296919;0.0016806722689075631;0.058823529411764705;0.24369747899159663;0.0016806722689075631
2.0;0.0037623762376237622;0.03702970297029703;0.04792079207920792;0.0403960396039604;0.16673267326732674;0.01702970297029703;0.028316831683168318;0.32673267326732675;0.03920792079207921;0.10435643564356435;0.14138613861386137;0.04712871287128713
3.0;0.0;0.0024429967426710096;0.09364820846905537;0.0024429967426710096;0.14250814332247558;0.0024429967426710096;0.0024429967426710096;0.4519543973941368;0.0024429967426710096;0.15879478827361562;0.13843648208469056;0.0024429967426710096
4.0;0.008912655971479501;0.01871657754010695;0.09358288770053476;0.04634581105169341;0.14171122994652408;0.01693404634581105;0.024955436720142603;0.22905525846702318;0.0071301247771836;0.18627450980392157;0.1925133689839572;0.0338680926916221
5.0;0.0;0.0029702970297029703;0.09405940594059406;0.0029702970297029703;0.13861386138613863;0.0029702970297029703;0.0029702970297029703;0.18811881188118812;0.0029702970297029703;0.38613861386138615;0.1188118811881188;0.0594059405940594
6.0;0.0020915032679738564;0.00784313725490196;0.10091503267973856;0.09124183006535948;0.12130718954248366;0.022483660130718956;0.0067973856209150325;0.1249673202614379;0.00522875816993464;0.27633986928104576;0.13908496732026143;0.10169934640522876
7.0;0.0010011441647597254;0.009725400457665904;0.09839816933638444;0.10826659038901602;0.10826659038901602;0.02917620137299771;0.011012585812356979;0.09496567505720824;0.00958237986270023;0.27388443935926776;0.15703661327231122;0.09868421052631579
8.0;0.0007958615200955034;0.012999071494893221;0.12269531768139011;0.07892293407613742;0.12004244594773843;0.023079984082769598;0.020161825175752754;0.13105186364239288;0.01326435866825839;0.25772648892426053;0.13887783525666533;0.08038201352964584
9.0;0.004859086491739553;0.015937803692905733;0.07463556851311953;0.0923226433430515;0.12730806608357628;0.0184645286686103;0.03537414965986395;0.15879494655004858;0.016715257531584062;0.22759961127308065;0.15413022351797862;0.0738581146744412
10.0;0.0015133680847486128;0.007398688414326551;0.10913065411131663;0.09248360517908188;0.10408609382882125;0.020850849167647553;0.016647048932234742;0.11299815032789642;0.012947704725071464;0.2915755843282327;0.13704388767445772;0.09332436522616445
11.0;0.003695491500369549;0.013303769401330377;0.08056171470805618;0.07243163340724317;0.13082039911308205;0.015521064301552107;0.018477457501847747;0.09903917220990392;0.0066518847006651885;0.30007390983000737;0.19142645971914266;0.0679970436067997
