NUMERO;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional
1.0;0.0;0.06728971962616823;0.0;0.052336448598130844;0.056074766355140186;0.011214953271028037;0.17943925233644858;0.29906542056074764;0.09906542056074766;0.08785046728971962;0.10467289719626169;0.04299065420560748
2.0;0.0;0.05583695127834057;0.001567776169802219;0.028461167390255667;0.06657018813314038;0.005668113844669561;0.16763145200192958;0.2982392667631452;0.09406657018813314;0.12469850458273034;0.1020260492040521;0.05523396044380125
3.0;0.0;0.05167958656330749;0.002583979328165375;0.05167958656330749;0.07751937984496124;0.01808785529715762;0.15503875968992248;0.23255813953488372;0.09043927648578812;0.12403100775193798;0.12661498708010335;0.06976744186046512
4.0;0.0;0.03412784398699892;0.0021668472372697724;0.03737811484290358;0.09913326110509209;0.009750812567713976;0.17172264355362946;0.21451787648970747;0.07204767063921994;0.16793066088840736;0.11700975081256772;0.07421451787648971
5.0;0.0;0.033783783783783786;0.0045045045045045045;0.0472972972972973;0.08108108108108109;0.013513513513513514;0.14414414414414414;0.1981981981981982;0.08108108108108109;0.1981981981981982;0.10810810810810811;0.09009009009009009
6.0;0.00014784151389710232;0.011088113542282674;0.0016262566528681254;0.044795978710822;0.12389118864577173;0.008574807806031934;0.12492607924305145;0.09535777646363099;0.03903015966883501;0.3246599645180367;0.1023063276167948;0.12359550561797752
7.0;0.00038798789477768295;0.012881198106619073;0.002250329789710561;0.057422208427097075;0.11818111274928222;0.012260417474974781;0.12772561496081322;0.09505703422053231;0.039419570109412584;0.31295103592767903;0.10320478001086367;0.11825871032823776
8.0;0.00013034410844629823;0.020203336809176225;0.0024113660062565173;0.03571428571428571;0.1321689259645464;0.006061001042752868;0.14761470281543274;0.1215458811261731;0.04927007299270073;0.2739181438998957;0.10016944734098018;0.1107924921793535
9.0;0.00044439506721475393;0.0241084323964004;0.0014442839684479503;0.06065992667481391;0.10332185312743028;0.014776135984890568;0.14831685368292413;0.1464281746472614;0.06121542050883235;0.23786245972669703;0.10454393956227086;0.09687812465281635
10.0;0.0002821139740455144;0.0157043445552003;0.0028211397404551437;0.0509685913108896;0.1155726913673124;0.009685913108895994;0.12413014858002633;0.11886402106451006;0.046924957682903896;0.29640774873048714;0.10851984201617454;0.11011848786909911
11.0;0.0003763643206624012;0.015054572826496047;0.001881821603312006;0.04403462551750094;0.12081294693263078;0.007150922092585623;0.13737297704177645;0.11328566051938277;0.04742190440346255;0.27587504704554006;0.12758750470455402;0.10914565299209635
