NOMBRE;Distrito de residencia;NUMERO;he_pct
BAILEN-MIRAFLORES;Distrito 2906704;4.0;0.2798573975044563
CAMPANILLAS;Distrito 2906709;9.0;0.22682215743440234
CARRETERA DE CADIZ;Distrito 2906707;7.0;0.12528604118993136
CENTRO;Distrito 2906701;1.0;0.40672268907563025
CHURRIANA;Distrito 2906708;8.0;0.17747711898129725
CIUDAD JARDIN;Distrito 2906703;3.0;0.4592833876221498
CRUZ DE HUMILLADERO;Distrito 2906706;6.0;0.14483660130718953
ESTE;Distrito 2906702;2.0;0.43128712871287134
PALMA-PALMILLA;Distrito 2906705;5.0;0.19702970297029704
PUERTO DE LA TORRE;Distrito 2906710;10.0;0.1499915923995292
TEATINOS-UNIVERSIDAD;Distrito 2906711;11.0;0.13747228381374724
