NUMERO;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales
1.0;0.07088331515812432;0.35714285714285715;0.1717557251908397;0.20174482006543076;0.11723009814612868;0.0016357688113413304;0.0016357688113413304;0.0016357688113413304;0.07633587786259542
2.0;0.08691328560063644;0.3752983293556086;0.11276849642004773;0.14558472553699284;0.15314240254574382;0.0029832935560859188;0.03599840891010342;0.017501988862370723;0.06980906921241051
3.0;0.0022354694485842027;0.35767511177347244;0.13040238450074515;0.12295081967213115;0.32786885245901637;0.0022354694485842027;0.0022354694485842027;0.0022354694485842027;0.05216095380029806
4.0;0.039285714285714285;0.2571428571428571;0.11428571428571428;0.16339285714285715;0.23125;0.022321428571428572;0.07142857142857142;0.03482142857142857;0.06607142857142857
5.0;0.06499133448873484;0.26429809358752165;0.14298093587521662;0.12564991334488734;0.2512998266897747;0.0025996533795493936;0.0025996533795493936;0.0025996533795493936;0.14298093587521662
6.0;0.029458179905312992;0.13834823776959496;0.08968963703314045;0.15912677538137823;0.2856391372961599;0.007627564439768543;0.10494476591267754;0.06207259337190952;0.12309310889005787
7.0;0.030285632266398736;0.1369312473087412;0.11052102770202382;0.12932395579158892;0.2941007607291517;0.005454284483995981;0.07923065882015215;0.07047509688531649;0.14367733601263097
8.0;0.03978179882916445;0.17150079829696646;0.12040979244278872;0.1567323044172432;0.2168706758914316;0.005055880787653007;0.09406599254922832;0.08009579563597659;0.11548696114954764
9.0;0.02889496290511519;0.19191721983600157;0.1116751269035533;0.15638422491214368;0.23565013666536508;0.005857087075361187;0.06794221007418977;0.05388520109332292;0.1477938305349473
10.0;0.03434343434343434;0.14107744107744108;0.11582491582491583;0.14393939393939395;0.2572390572390572;0.003872053872053872;0.09377104377104377;0.07138047138047138;0.13855218855218857
11.0;0.039288361749444035;0.12527798369162343;0.10600444773906598;0.16160118606375093;0.33209785025945143;0.008895478131949592;0.08821349147516679;0.05930318754633061;0.0793180133432172
