NOMBRE;Distrito de residencia;NUMERO;kw_pct
BAILEN-MIRAFLORES;Distrito 2906704;4.0;0.4516666666666667
CAMPANILLAS;Distrito 2906709;9.0;0.3648555708390646
CARRETERA DE CADIZ;Distrito 2906707;7.0;0.28286852589641437
CENTRO;Distrito 2906701;1.0;0.5890410958904109
CHURRIANA;Distrito 2906708;8.0;0.3414160359032755
CIUDAD JARDIN;Distrito 2906703;3.0;0.506631299734748
CRUZ DE HUMILLADERO;Distrito 2906706;6.0;0.27378964941569284
ESTE;Distrito 2906702;2.0;0.5811113879890356
PALMA-PALMILLA;Distrito 2906705;5.0;0.42298850574712643
PUERTO DE LA TORRE;Distrito 2906710;10.0;0.31084732677089366
TEATINOS-UNIVERSIDAD;Distrito 2906711;11.0;0.35419906687402797
