NUMERO;Hogar con un hombre solo de 65 años o más;Hogar con un hombre solo menor de 65 años;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar con una mujer sola de 65 años o más;Hogar con una mujer sola menor de 65 años;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Hogar formado por pareja sin hijos;Otro tipo de hogar
1.0;0.05377906976744186;0.15261627906976744;0.046511627906976744;0.04505813953488372;0.13372093023255813;0.13226744186046513;0.09302325581395349;0.03197674418604651;0.04796511627906977;0.13953488372093023;0.12354651162790697
2.0;0.029489937982533857;0.06125806859891153;0.07644601949120365;0.066447285153778;0.0847993924819643;0.0570813821035312;0.2303505885330971;0.08391342867991393;0.09745601822554108;0.13909631692190863;0.07366156182761675
3.0;0.03747534516765286;0.1913214990138067;0.05325443786982249;0.04339250493096647;0.08875739644970414;0.16568047337278108;0.08284023668639054;0.01972386587771203;0.03353057199211045;0.14201183431952663;0.14201183431952663
4.0;0.03088441740758072;0.10248011230697239;0.07159569489939167;0.057557323350491345;0.09873654656059896;0.09639681796911559;0.171268132896584;0.056621431913897985;0.07112774918109499;0.1417875526438933;0.10154422087037904
5.0;0.03076923076923077;0.17094017094017094;0.07521367521367521;0.041025641025641026;0.06666666666666667;0.15555555555555556;0.1111111111111111;0.02735042735042735;0.05641025641025641;0.13675213675213677;0.1282051282051282
6.0;0.02709523177048745;0.07836366051268429;0.07929339885775004;0.06455040510027892;0.08580156727321026;0.06773807942621862;0.21755877274538452;0.06773807942621862;0.08048877672997742;0.14782839686545357;0.0835436312923363
7.0;0.024554482383349206;0.07958100938647802;0.08073731465106788;0.061896340633927356;0.07849272207862876;0.0670657053462114;0.21690926404570807;0.06488913073051286;0.08774316419534757;0.14399401441980683;0.09413685212896204
8.0;0.016763902222878664;0.07828077689978584;0.08507495753637102;0.04541762055978141;0.0471900155084558;0.059005981832951776;0.31762794476035744;0.06424931688944686;0.08522265711542722;0.138320655786131;0.06284617088841297
9.0;0.03393950306085704;0.07742167806985956;0.06661865322290242;0.06994958588404754;0.11145120633777458;0.07967230824630897;0.15889449045732806;0.0670687792581923;0.07328051854519266;0.16312567518905294;0.09857760172848398
10.0;0.023921803995541457;0.0684215039012261;0.07570950870273514;0.06216239389522421;0.0841978907656692;0.06259110006001886;0.23167281145502872;0.07776729829374947;0.07605247363457086;0.16282260138900798;0.07468061390722798
11.0;0.02219430485762144;0.07035175879396985;0.08500837520938023;0.04648241206030151;0.04313232830820771;0.045644891122278056;0.29690117252931325;0.06658291457286432;0.10008375209380234;0.15452261306532664;0.06909547738693467
