NUMERO;Hogar con un hombre solo de 65 años o más;Hogar con un hombre solo menor de 65 años;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar con una mujer sola de 65 años o más;Hogar con una mujer sola menor de 65 años;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Hogar formado por pareja sin hijos;Otro tipo de hogar
1.0;0.03125;0.24166666666666667;0.0125;0.025;0.14166666666666666;0.12708333333333333;0.13541666666666666;0.020833333333333332;0.0;0.18333333333333332;0.08125
2.0;0.016521923321330227;0.05825037068417708;0.06375767845795383;0.05507307773776742;0.06566405422579961;0.06100402457106545;0.3255666172421097;0.08176233848760855;0.058462190213937726;0.1529337004871849;0.06100402457106545
3.0;0.002051983584131327;0.20177838577291382;0.002051983584131327;0.08549931600547196;0.08549931600547196;0.15047879616963064;0.1094391244870041;0.002051983584131327;0.002051983584131327;0.2496580027359781;0.1094391244870041
4.0;0.023455824863174355;0.0875684128225176;0.0688037529319781;0.04222048475371384;0.10242376856919469;0.09773260359655982;0.18842845973416733;0.07818608287724785;0.04691164972634871;0.18060985144644254;0.0836591086786552
5.0;0.0018137847642079807;0.14510278113663846;0.12998790810157196;0.06650544135429262;0.04836759371221282;0.10882708585247884;0.13301088270858524;0.0018137847642079807;0.0018137847642079807;0.2418379685610641;0.12091898428053205
6.0;0.023425414364640886;0.07889502762430939;0.06430939226519337;0.04707182320441989;0.09392265193370165;0.061878453038674036;0.2647513812154696;0.06585635359116022;0.0594475138121547;0.1816574585635359;0.05878453038674033
7.0;0.020410543503615583;0.06706321436902263;0.05983205038488453;0.055283414975507345;0.07825985537672031;0.062164683928154885;0.28306508047585727;0.08000933053417308;0.05609983671565197;0.17716351761138324;0.060648472125029156
8.0;0.014803748472090181;0.06546244737199511;0.0681787314953144;0.032731223685997554;0.046312644302594054;0.052967540404726336;0.37199511068857805;0.060844764362352304;0.05473312508488388;0.17071845715061795;0.061252206980850196
9.0;0.021722618866778065;0.06501595017469239;0.05362296825155704;0.06045875740543825;0.1014734923287255;0.06911742366702112;0.2126689958985265;0.0786875284824548;0.06137019595928908;0.19854169831383867;0.07732037065167857
10.0;0.015220925077582385;0.0527560218708438;0.06871582680656126;0.051278262154573664;0.06679473917541008;0.06989803457957736;0.2902320082754544;0.07713905718930102;0.05319934978572484;0.2020097532141274;0.0527560218708438
11.0;0.010861132660977503;0.05973622963537626;0.048875096974398756;0.03491078355314197;0.045771916214119475;0.038789759503491075;0.34988363072148954;0.0682699767261443;0.07680372381691233;0.20636152055857254;0.05973622963537626
