Municipio de residencia;Seccion de residencia;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Sección 2906708056;*;*;*;125;345;435;220;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708057;*;*;*;*;305;215;105;95;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708058;*;*;*;175;260;260;150;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708059;*;*;115;130;355;140;120;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708060;*;*;*;*;*;110;110;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708061;*;*;*;340;325;295;175;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708062;*;*;*;*;85;160;85;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708063;*;*;110;130;175;110;200;100;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708064;*;*;60;130;*;*;85;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708065;*;170;510;540;330;95;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709001;*;*;*;*;*;110;*;115;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709002;*;*;*;*;*;*;*;*;*;55;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709003;*;*;*;*;210;55;*;215;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709004;*;*;*;125;80;*;95;*;50;80;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709005;*;*;*;*;*;*;*;95;70;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709006;*;*;75;*;*;55;*;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709007;*;*;*;220;65;120;100;*;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709008;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709009;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709010;*;*;115;*;*;*;105;75;50;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709011;*;100;110;*;*;50;90;150;50;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709012;*;*;*;*;*;85;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709013;*;*;*;*;80;*;*;*;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709014;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709015;*;*;*;*;165;70;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709016;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709017;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709018;*;*;*;*;*;90;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709019;*;*;*;*;*;*;90;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709020;*;*;*;*;*;*;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709021;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709022;*;*;*;*;*;*;*;*;85;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709023;*;*;*;90;*;*;*;100;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709024;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709025;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709026;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709027;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709028;*;*;*;*;*;*;65;75;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709029;*;*;*;75;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709030;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709031;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709032;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709033;*;*;*;*;*;70;155;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709034;*;*;*;*;75;45;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709036;*;*;*;195;120;*;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709037;*;*;*;*;90;75;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709038;*;*;*;*;*;60;60;*;90;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709039;*;*;*;200;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709040;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709041;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709042;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709043;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709044;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709045;*;*;*;120;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709046;*;*;*;*;*;*;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709047;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709048;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709049;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709050;*;*;*;*;*;60;135;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709051;*;*;*;*;*;50;190;170;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709052;*;*;*;*;135;145;145;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709053;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709055;*;*;*;*;*;50;110;70;45;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709056;*;*;*;115;170;80;105;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709057;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709058;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709059;*;*;*;*;*;55;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709062;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709063;*;65;*;*;*;*;*;*;55;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709064;*;*;85;75;*;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709065;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709067;*;*;*;*;175;*;*;*;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709068;*;*;*;*;75;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709070;*;*;*;*;*;*;80;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709071;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709075;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709076;*;*;*;*;*;*;60;*;55;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709077;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709078;*;*;*;95;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709079;*;*;*;*;*;*;95;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709080;*;*;155;*;*;*;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709082;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709083;*;*;*;*;*;130;115;70;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710001;*;*;190;145;180;170;110;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710002;*;*;*;*;110;*;80;60;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710003;*;*;*;120;250;225;205;190;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710004;*;*;*;*;*;*;*;155;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710005;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710006;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710007;*;*;*;*;*;*;60;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710008;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710009;*;*;*;*;60;*;55;60;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710010;*;*;140;*;*;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710011;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710012;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710013;*;*;*;*;*;*;*;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710014;*;*;70;*;*;*;*;110;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710015;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710016;*;*;200;110;100;110;115;70;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710017;*;*;*;*;130;*;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710018;*;*;*;*;*;*;75;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710019;*;*;*;*;130;155;90;105;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710020;*;*;70;*;*;*;105;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710021;*;*;*;60;185;120;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710022;*;*;65;265;100;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710023;*;*;90;65;*;100;80;130;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710024;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710026;*;*;155;*;*;*;85;145;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710027;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710028;*;*;*;165;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710029;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710030;*;*;*;*;*;*;55;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710031;*;*;80;80;90;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710032;*;*;*;60;60;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710033;*;*;*;*;105;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710034;*;*;*;110;120;305;95;85;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710035;*;*;*;*;65;*;50;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710036;*;*;*;80;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710037;*;*;*;*;*;*;*;65;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710038;*;*;*;*;70;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710039;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710040;*;*;*;95;*;*;65;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710041;*;*;105;110;*;145;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710042;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710043;*;*;55;140;75;*;60;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710044;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710045;*;*;*;125;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710046;*;*;*;75;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710047;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710048;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710049;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710050;*;*;*;*;*;*;60;*;115;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710051;*;*;*;*;*;*;60;55;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710052;*;*;*;*;85;75;130;120;95;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710053;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710054;*;*;*;85;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710055;*;*;*;*;*;*;*;60;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710056;*;*;*;*;*;160;55;110;100;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710057;*;*;95;*;*;*;*;90;120;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710058;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710059;*;*;*;*;*;*;*;60;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710060;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710061;*;*;*;55;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710062;*;*;*;*;*;*;115;85;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710063;*;*;*;115;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710064;*;*;*;*;125;*;*;120;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710065;*;*;*;*;110;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710066;*;*;80;145;110;115;185;115;75;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710067;*;*;*;70;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710068;*;60;*;*;*;265;105;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710069;*;*;*;210;265;215;65;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710070;*;*;170;220;300;110;125;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710071;*;*;65;*;110;*;110;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906710072;*;*;*;235;240;175;135;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711001;*;*;*;*;*;80;70;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711002;*;50;*;150;225;140;105;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711003;*;60;*;245;60;95;160;60;120;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711004;*;*;*;155;90;*;*;*;65;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711005;*;*;155;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711006;*;*;100;105;110;140;130;55;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711007;*;*;110;250;130;125;95;105;80;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711008;*;*;85;*;*;140;285;125;215;145;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711009;*;*;*;125;35;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906711010;*;*;*;*;95;130;125;90;*;*;*;*;*;*;*;*;*
