NUMSECCENS;15-19;20-34;35-64;65+;Hogar con un hombre solo de 65 años o más;Hogar con un hombre solo menor de 65 años;Hogar con un solo progenitor que convive con algún hijo menor de 25 años;Hogar con un solo progenitor que convive con todos sus hijos de 25 años o más;Hogar con una mujer sola de 65 años o más;Hogar con una mujer sola menor de 65 años;Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años;Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más;Hogar formado por pareja o un solo progenitor que convive con algún hijo menor de 25 años y otra(s) persona(a);Hogar formado por pareja sin hijos;Otro tipo de hogar;Analfabetos;Doctorado universitario;Educación postsecundaria no superior;Educación primaria;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes;Estudios primarios incompletos;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales;SES;kw_pct;he_pct;median_price_inf;RANK;SES_PR
1001.0;0.0;0.2304347826086956;0.7391304347826086;0.0304347826086956;0.0574324324324324;0.1858108108108108;0.0439189189189189;0.0371621621621621;0.1182432432432432;0.1486486486486486;0.0743243243243243;0.0236486486486486;0.0371621621621621;0.1486486486486486;0.125;0.0043478260869565;0.0695652173913043;0.0;0.0565217391304347;0.0652173913043478;0.0130434782608695;0.2043478260869565;0.2521739130434782;0.0913043478260869;0.0869565217391304;0.1043478260869565;0.0521739130434782;0.0744186046511627;0.3627906976744186;0.1395348837209302;0.0837209302325581;0.2325581395348837;0.0046511627906976;0.027906976744186;0.013953488372093;0.0604651162790697;3.208245036242855;0.5767441860465117;0.4130434782608695;3097.2203654999994;15.0;89.62962962962962
2003.0;0.0;0.2015209125475285;0.7870722433460076;0.0114068441064638;0.0098522167487684;0.0541871921182266;0.0935960591133004;0.0492610837438423;0.0246305418719211;0.0443349753694581;0.3054187192118227;0.1083743842364532;0.0935960591133004;0.1428571428571428;0.0738916256157635;0.0;0.0267175572519083;0.0;0.0267175572519083;0.099236641221374;0.0;0.1603053435114503;0.1870229007633587;0.0687022900763358;0.2175572519083969;0.1183206106870229;0.0954198473282442;0.0395256916996047;0.2845849802371542;0.1304347826086956;0.1225296442687747;0.217391304347826;0.0;0.0948616600790513;0.0355731225296442;0.075098814229249;3.3246498634523936;0.4545454545454546;0.2824427480916031;3240.393552;12.0;91.85185185185183
2004.0;0.0;0.1621621621621621;0.7621621621621621;0.0756756756756756;0.029585798816568;0.0532544378698224;0.0769230769230769;0.059171597633136;0.0946745562130177;0.0650887573964497;0.2485207100591716;0.0710059171597633;0.0946745562130177;0.1538461538461538;0.0532544378698224;0.0;0.0869565217391304;0.0;0.0108695652173913;0.0380434782608695;0.0054347826086956;0.1684782608695652;0.4184782608695652;0.1195652173913043;0.0271739130434782;0.0978260869565217;0.0271739130434782;0.0786516853932584;0.5224719101123596;0.1516853932584269;0.1067415730337078;0.1067415730337078;0.0;0.0112359550561797;0.0056179775280898;0.0168539325842696;4.034507587131444;0.752808988764045;0.625;3240.393552;3.0;98.51851851851852
2009.0;0.0;0.1952380952380952;0.7904761904761904;0.0142857142857142;0.0238095238095238;0.0619047619047619;0.0761904761904762;0.0619047619047619;0.0476190476190476;0.0476190476190476;0.2761904761904762;0.0857142857142857;0.1095238095238095;0.1285714285714285;0.0809523809523809;0.0;0.0377358490566037;0.0094339622641509;0.0471698113207547;0.080188679245283;0.0047169811320754;0.1179245283018868;0.1650943396226415;0.0660377358490566;0.2783018867924528;0.0660377358490566;0.1273584905660377;0.0485436893203883;0.2135922330097087;0.0970873786407767;0.0728155339805825;0.2766990291262136;0.0048543689320388;0.0776699029126213;0.0388349514563106;0.1699029126213592;3.23483018475906;0.3592233009708738;0.2688679245283019;3240.393552;14.0;90.37037037037037
2013.0;0.0034602076124567;0.1903114186851211;0.7716262975778547;0.0346020761245674;0.0170212765957446;0.0680851063829787;0.0851063829787234;0.0595744680851063;0.0553191489361702;0.051063829787234;0.2595744680851063;0.0893617021276595;0.1148936170212766;0.1276595744680851;0.0723404255319148;0.0;0.0726643598615917;0.0;0.0069204152249134;0.0553633217993079;0.0069204152249134;0.2076124567474048;0.370242214532872;0.1003460207612456;0.0380622837370242;0.1141868512110726;0.0276816608996539;0.1003584229390681;0.4372759856630824;0.1612903225806451;0.1290322580645161;0.1218637992831541;0.003584229390681;0.025089605734767;0.007168458781362;0.014336917562724;3.877883665253785;0.6989247311827957;0.5432525951557093;3240.393552;7.0;95.55555555555556
2020.0;0.0;0.2611111111111111;0.7166666666666667;0.0222222222222222;0.0233644859813084;0.0700934579439252;0.0700934579439252;0.0887850467289719;0.1121495327102803;0.0654205607476635;0.1495327102803738;0.0654205607476635;0.1074766355140186;0.1355140186915887;0.1121495327102803;0.0;0.0167597765363128;0.0055865921787709;0.0782122905027933;0.1117318435754189;0.0055865921787709;0.1340782122905028;0.1396648044692737;0.0614525139664804;0.2513966480446927;0.1117318435754189;0.0837988826815642;0.0284090909090909;0.2329545454545454;0.0738636363636363;0.1079545454545454;0.2897727272727273;0.0;0.0681818181818181;0.0284090909090909;0.1704545454545454;3.144237521561163;0.3352272727272727;0.217877094972067;3240.393552;16.0;88.88888888888889
2024.0;0.0118343195266272;0.2840236686390532;0.6982248520710059;0.0059171597633136;0.027027027027027;0.0648648648648648;0.0756756756756756;0.081081081081081;0.081081081081081;0.0486486486486486;0.2;0.0972972972972973;0.1189189189189189;0.1243243243243243;0.081081081081081;0.0;0.0118343195266272;0.0059171597633136;0.0769230769230769;0.1005917159763313;0.0236686390532544;0.0887573964497041;0.0769230769230769;0.0236686390532544;0.3491124260355029;0.1124260355029585;0.1301775147928994;0.0121951219512195;0.1280487804878048;0.073170731707317;0.073170731707317;0.3597560975609756;0.0121951219512195;0.0792682926829268;0.0365853658536585;0.2256097560975609;2.9035577874250644;0.2134146341463415;0.1124260355029585;3240.393552;18.0;87.4074074074074
2026.0;0.003875968992248;0.2093023255813953;0.7751937984496124;0.0116279069767441;0.0281124497991967;0.0642570281124498;0.0883534136546184;0.0602409638554216;0.0602409638554216;0.0481927710843373;0.253012048192771;0.0923694779116465;0.0843373493975903;0.1365461847389558;0.0843373493975903;0.0;0.0234375;0.00390625;0.02734375;0.10546875;0.0078125;0.140625;0.13671875;0.04296875;0.2890625;0.09765625;0.125;0.0321285140562249;0.1927710843373494;0.108433734939759;0.1124497991967871;0.2730923694779116;0.0040160642570281;0.1004016064257028;0.0401606425702811;0.1365461847389558;3.121757835241273;0.3333333333333333;0.203125;3240.393552;17.0;88.14814814814815
2027.0;0.0;0.2046204620462046;0.7557755775577558;0.0396039603960396;0.025;0.0821428571428571;0.0821428571428571;0.0428571428571428;0.0678571428571428;0.0464285714285714;0.2714285714285714;0.075;0.0821428571428571;0.1571428571428571;0.0678571428571428;0.0;0.0427631578947368;0.0;0.0328947368421052;0.0921052631578947;0.006578947368421;0.1447368421052631;0.2467105263157894;0.0822368421052631;0.1776315789473684;0.1019736842105263;0.0723684210526315;0.0893470790378006;0.3161512027491409;0.1134020618556701;0.1030927835051546;0.2027491408934708;0.0034364261168384;0.0618556701030927;0.0343642611683848;0.0756013745704467;3.499755697182592;0.5189003436426117;0.3717105263157895;3240.393552;10.0;93.33333333333331
2028.0;0.0;0.1893491124260355;0.7869822485207101;0.0236686390532544;0.0304568527918781;0.0507614213197969;0.0710659898477157;0.0710659898477157;0.1421319796954314;0.065989847715736;0.1472081218274111;0.0862944162436548;0.1065989847715736;0.1421319796954314;0.0862944162436548;0.0;0.0294117647058823;0.0058823529411764;0.0352941176470588;0.0823529411764705;0.0117647058823529;0.1941176470588235;0.2235294117647059;0.0764705882352941;0.1411764705882353;0.1470588235294117;0.0529411764705882;0.0479041916167664;0.3173652694610778;0.1377245508982036;0.1257485029940119;0.2155688622754491;0.0059880239520958;0.0479041916167664;0.029940119760479;0.0718562874251497;3.4275603057856854;0.5029940119760479;0.3294117647058823;3240.393552;11.0;92.5925925925926
